index,amount,merchant,date,receipt_url,llama32_verdict,llama32_reason,llama32_total,old_category
77,84.20,TST*HOMEGROWN TAPROOM &AMP;,2024-08-06,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tsthomegrown_taproom_amp_2024-08-06_84_2.jpg,VERIFIED,"**Receipt Analysis**

The total amount shown on this receipt is $84.20.

**Verdict:** MATCH

**Explanation:** The total amount listed on the receipt is indeed $84.20, which matches the expected amount",,NO_REASON_GIVEN
89,58.21,O-KU NASHVILLE,2024-08-13,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/o_ku_nashville_2024-08-13_58_21.jpeg,MISMATCH,"TOTAL: $48.21
VERDICT: MISMATCH",$48.21,NO_REASON_GIVEN
90,44.32,OPTIMIST NASHVILLE,2024-08-13,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/optimist_nashville_2024-08-13_44_32_3.jpg,MISMATCH,"TOTAL: $36.60
VERDICT: MISMATCH",$36.60,NO_REASON_GIVEN
91,896.44,OPTIMIST NASHVILLE,2024-08-13,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/optimist_nashville_2024-08-13_896_44_3.jpg,MISMATCH,"TOTAL: $746.44
VERDICT: MISMATCH",$746.44,NO_REASON_GIVEN
93,15.38,MAFIAOZAS,2024-08-14,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/mafiaozas_2024-08-14_15_38_3.jpg,VERIFIED,"TOTAL: $10.33
VERDICT: MATCH

The total amount on the receipt is indeed $10.33, which matches the expected amount of $15.38.",$10.33,NO_REASON_GIVEN
94,10.99,METROPOLIS PARKING,2024-08-14,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2024-08-14_10_99_3.jpg,MISMATCH,"TOTAL: $10.99
VERDICT: MATCH

The total amount on the receipt is indeed $10.99, which matches the expected amount. The expected merchant, Metropolis Parkings, is also consistent with the actual receip",$10.99,NO_REASON_GIVEN
97,27.14,SH NASHVILLE - OTHER,2024-08-14,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2024-08-14_27_14.jpg,VERIFIED,"TOTAL: $14.22
VERDICT: MATCH

Explanation:

The total amount on the receipt is $14.22, which matches the expected amount of $27.14. However, the merchant is incorrect, as the expected merchant is SH N",$14.22,NO_REASON_GIVEN
105,623.10,TM *PBR TEAMS,2024-08-17,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tm_pbr_teams_2024-08-17_623_1.jpg,VERIFIED,"TOTAL: $623.10
VERDICT: MATCH

The total amount shown on this receipt is $623.10. This matches the expected amount.",$623.10,NO_REASON_GIVEN
112,27.42,METROPOLIS PARKING,2024-08-20,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2024-08-20_27_42_3.jpg,VERIFIED,"TOTAL: $27.42
VERDICT: MATCH

The total amount on the receipt is indeed $27.42. The merchant listed is Metropolis Parking, which matches the expected merchant. The transaction details match the expect",$27.42,NO_REASON_GIVEN
121,22.51,PMC - PAID PARKING,2024-08-22,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2024-08-22_22_51_3.jpg,VERIFIED,"TOTAL: $89.82
VERDICT: MATCH

The total amount shown on this receipt is indeed $89.82. This matches the expected amount of $22.51. The merchant is also correctly identified as PMC - PAID PARKING.",$89.82,NO_REASON_GIVEN
124,79.64,CORNER PUB,2024-08-23,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/corner_pub_2024-08-23_79_64_3.jpg,MISMATCH,"TOTAL: $66.64
VERDICT: MISMATCH",$66.64,NO_REASON_GIVEN
151,26.22,PMC - PAID PARKING,2024-08-28,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2024-08-28_26_22.jpg,VERIFIED,"TOTAL: $26.22
VERDICT: MATCH

The total amount shown on this receipt is indeed $26.22, which matches the expected amount. The merchant is also correctly identified as PMC - PAID PARKING.",$26.22,NO_REASON_GIVEN
159,23.14,APPLE.COM/BILL,2024-08-31,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/applecombill_2024-08-31_23_14_3.jpg,VERIFIED,"TOTAL: $23.14
VERDICT: MATCH

The total amount shown on this receipt is $23.14, which matches the expected amount.",$23.14,NO_REASON_GIVEN
165,59.16,12 SOUTH TAPROOM &AMP; GRILL,2024-09-04,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/12_south_taproom_amp_grill_2024-09-04_59_16.jpg,VERIFIED,"TOTAL: $49.16
VERDICT: MATCH

The total amount on the receipt is $49.16, which matches the expected amount.",$49.16,NO_REASON_GIVEN
166,39.78,CORNER PUB,2024-09-04,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/corner_pub_2024-09-04_39_78_3.jpg,MISMATCH,"TOTAL: $32.78
VERDICT: MISMATCH",$32.78,NO_REASON_GIVEN
168,24.59,PMC - PAID PARKING,2024-09-04,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2024-09-04_24_59.png,VERIFIED,"TOTAL: $24.59
VERDICT: MATCH

The total amount shown on this receipt is indeed $24.59, which matches the expected amount.",$24.59,NO_REASON_GIVEN
182,26.25,METROPOLIS PARKING,2024-09-07,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2024-09-07_26_25_3.jpg,VERIFIED,"To calculate the total amount on this receipt, we need to add up all the charges listed. The charges are:

* 12 hours: $25.00
* Service Fee: $1.25

Total = 12 hours + Service Fee
= $25.00 + $1.25
= $2",** $26.25,NO_REASON_GIVEN
187,318.00,CLEAR *CLEARME.COM,2024-09-08,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/clear_clearmecom_2024-09-08_318_0.png,MISMATCH,"TOTAL: $334.00
VERDICT: MISMATCH",$334.00,NO_REASON_GIVEN
198,43.50,BINION'S BARS,2024-09-10,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/binions_bars_2024-09-10_43_5.jpg,MISMATCH,"TOTAL: $36.50
VERDICT: MISMATCH",$36.50,NO_REASON_GIVEN
208,27.22,GNLV THE GRILLE,2024-09-12,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/gnlv_the_grille_2024-09-12_27_22.jpg,VERIFIED,"TOTAL: $27.22
VERDICT: MATCH

The total amount on the receipt is indeed $27.22. The expected amount and merchant match the information provided on the receipt.",$27.22,NO_REASON_GIVEN
214,5.00,CLOUDFLARE,2024-09-14,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2024-09-14_5_0.jpg,MISMATCH,"TOTAL: $5.00
VERDICT: MATCH

The total amount on this receipt is indeed $5.00, which matches the expected amount. The merchant listed is Cloudflare, which matches the expected merchant. Therefore, the",$5.00,NO_REASON_GIVEN
221,26.22,PMC - PAID PARKING,2024-09-16,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2024-09-16_26_22.png,VERIFIED,"TOTAL: $26.22
VERDICT: MATCH",$26.22,NO_REASON_GIVEN
227,10.99,METROPOLIS PARKING,2024-09-18,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2024-09-18_10_99_3.jpg,VERIFIED,"TOTAL: $10.99
VERDICT: MATCH

The total amount shown on this receipt is indeed $10.99, which matches the expected amount. The merchant is Metropolis Parkings, which matches the expected merchant.",$10.99,NO_REASON_GIVEN
228,29.22,PMC - PAID PARKING,2024-09-18,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2024-09-18_29_22.png,VERIFIED,"TOTAL: $29.22
VERDICT: MATCH

This answer was produced by a computer program. I have no control over it. Please double-check its correctness.",$29.22,NO_REASON_GIVEN
230,14.09,AMERICANO LOUNGE,2024-09-19,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/americano_lounge_2024-09-19_14_09.png,VERIFIED,"TOTAL: $14.09
VERDICT: MATCH

The total amount on the receipt is indeed $14.09, which matches the expected amount.",$14.09,NO_REASON_GIVEN
234,26.25,METROPOLIS PARKING,2024-09-20,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2024-09-20_26_25_3.jpg,VERIFIED,"TOTAL: $26.25
VERDICT: MATCH

The total amount shown on the receipt is $26.25, which matches the expected amount. The merchant is indeed Metropolis Parkings.",$26.25,NO_REASON_GIVEN
235,5.60,201 BELCOURT LOT,2024-09-21,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/201_belcourt_lot_2024-09-21_5_6.jpg,MISMATCH,"TOTAL: $6.00
VERDICT: MATCH

Explanation:

The total amount shown on the receipt is $6.00, which matches the expected amount of $5.60. The expected merchant is 201 Belcourt Lot, which is also present ",$6.00,NO_REASON_GIVEN
239,21.95,CLAUDE.AI SUBSCRIPTION,2024-09-24,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/claudeai_subscription_2024-09-24_21_95.jpg,VERIFIED,"TOTAL: $21.95
VERDICT: MATCH",$21.95,NO_REASON_GIVEN
242,5.18,LAZGO NASHVILLE M32180,2024-09-25,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/lazgo_nashville_m32180_2024-09-25_5_18.jpg,VERIFIED,"**Receipt Analysis**

The provided receipt is from LAZGO NASHVILLE M32180 and displays a total amount of $5.18.

**Total Amount:** $5.18

**Verdict:** MATCH
```",,NO_REASON_GIVEN
243,26.22,PMC - PAID PARKING,2024-09-25,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2024-09-25_26_22.png,VERIFIED,"TOTAL: $26.22
VERDICT: MATCH

The total amount shown on this receipt is $26.22, which matches the expected amount. The merchant is indeed PMC - PAID PARKING.",$26.22,NO_REASON_GIVEN
256,20.76,PMC - PAID PARKING,2024-10-03,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2024-10-03_20_76.png,VERIFIED,"TOTAL: $20.76
VERDICT: MATCH

The total amount shown on this receipt is indeed $20.76. The expected amount matches the actual amount. The merchant listed on this receipt is indeed ""PMC - PAID PARKING""",$20.76,NO_REASON_GIVEN
259,27.40,TST*HEARTS CAFE,2024-10-03,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tsthearts_cafe_2024-10-03_27_4.jpg,VERIFIED,"TOTAL: $27.40
VERDICT: MATCH",$27.40,NO_REASON_GIVEN
261,23.14,APPLE.COM/BILL,2024-10-04,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/applecombill_2024-10-04_23_14_3.jpg,VERIFIED,"TOTAL: $23.14
VERDICT: MATCH

The total amount on the receipt is indeed $23.14, which matches the expected amount.",$23.14,NO_REASON_GIVEN
262,25.00,IM-ADA.AI,2024-10-04,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/im_adaai_2024-10-04_25_0.jpg,VERIFIED,"TOTAL: $25.00
VERDICT: MATCH

The total amount on the receipt is indeed $25.00, which matches the expected amount.",$25.00,NO_REASON_GIVEN
264,23.27,SH NASHVILLE - OTHER,2024-10-04,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2024-10-04_23_27.jpg,VERIFIED,"TOTAL: $23.27
VERDICT: MATCH",$23.27,NO_REASON_GIVEN
269,83.92,CORNER PUB,2024-10-08,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/corner_pub_2024-10-08_83_92.heic,SKIPPED,HEIC format - use converted JPG,,NO_REASON_GIVEN
270,50.00,IM-ADA.AI,2024-10-08,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/im_adaai_2024-10-08_50_0.jpg,VERIFIED,"The total amount shown on this receipt is $50.00.

**TOTAL:** $50.00
**VERDICT:** MATCH",** $50.00,NO_REASON_GIVEN
274,123.79,12 SOUTH TAPROOM &AMP; GRILL,2024-10-10,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/12_south_taproom_amp_grill_2024-10-10_123_79_3.jpg,VERIFIED,"TOTAL: $103.79
VERDICT: MATCH",$103.79,NO_REASON_GIVEN
276,24.22,DD *DOORDASH LASPALMAS,2024-10-11,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/dd_doordash_laspalmas_2024-10-11_24_22.jpg,VERIFIED,"TOTAL: $24.22
VERDICT: MATCH

The total amount shown on this receipt is $24.22. This matches the expected amount.",$24.22,NO_REASON_GIVEN
278,27.14,SH NASHVILLE - OTHER,2024-10-11,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2024-10-11_27_14.jpg,MISMATCH,"TOTAL: $38.78
VERDICT: MISMATCH",$38.78,NO_REASON_GIVEN
279,62.04,SH NASHVILLE - OTHER,2024-10-11,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2024-10-11_62_04.jpg,VERIFIED,"TOTAL: $62.93
VERDICT: MATCH",$62.93,NO_REASON_GIVEN
362,51.98,CORNER PUB,2024-11-25,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/corner_pub_2024-11-25_51_98.heic,SKIPPED,HEIC format - use converted JPG,,NO_REASON_GIVEN
180,10.96,APPLE.COM/BILL,2024-09-07,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/applecombill_2024-09-07_10_96_3.jpg,VERIFIED,"TOTAL: $10.96
VERDICT: MATCH
```",$10.96,OTHER
351,20.66,METROPOLIS PARKING,2024-11-20,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2024-11-20_20_66.jpg,MISMATCH,"The total amount on this receipt is $89.82.

**TOTAL:** $89.82
**VERDICT:** MISMATCH",** $89.82,OTHER
380,22.37,STARBUCKS 65853,2024-12-03,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/starbucks_65853_2024-12-03_22_37_3.jpg,VERIFIED,"TOTAL: $22.37
VERDICT: MATCH
```",$22.37,OTHER
386,75.00,PROFESSIONAL RODEO COWBO,2024-12-04,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/professional_rodeo_cowbo_2024-12-04_75_0.jpeg,VERIFIED,"TOTAL: $75.00
VERDICT: MATCH

The total amount shown on this receipt is indeed $75.00, which matches the expected amount.",$75.00,OTHER
695,54.86,ELEMENTOR.COM,2025-05-15,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/elementorcom_2025-05-15_54_86.jpg,VERIFIED,"**TOTAL:** $54.86
**VERDICT:** MATCH
```",** $54.86,OTHER
766,30.16,MONGODBCLOUD BRIANS...,2025-08-02,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/mongodbcloud_brians_2025-08-02_30_16_3.jpg,VERIFIED,"TOTAL: $30.16
VERDICT: MATCH
```",$30.16,OTHER
395,29.87,CURB LV TAXI YCS,2024-12-06,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/curb_lv_taxi_ycs_2024-12-06_29_87.jpg,MISMATCH,"TOTAL: $18.89
VERDICT: MISMATCH",$18.89,UNREADABLE
13,19.76,EXPENSIFY INC.,2024-07-01,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/expensify_inc_2024-07-01_19_76_3.jpg,VERIFIED,"TOTAL: $19.76
VERDICT: MATCH

This receipt is from Expensify Inc. and shows a total of $19.76. The expected amount and merchant match the actual receipt.",$19.76,WRONG_FILE_ATTACHED
16,81.66,UBER TRIP,2024-07-01,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/uber_trip_2024-07-01_81_66.png,MISMATCH,"TOTAL: $81.66
VERDICT: MATCH

This answer is based on the exact amount shown on the receipt. The total amount is $81.66, which matches the expected amount. Therefore, the verdict is MISMATCH.",$81.66,WRONG_FILE_ATTACHED
26,13.13,SPOTIFY USA,2024-07-08,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2024-07-08_13_13_3.jpg,VERIFIED,"TOTAL: $13.13
VERDICT: MATCH",$13.13,WRONG_FILE_ATTACHED
29,5.00,CLOUDFLARE,2024-07-14,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2024-07-14_5_0.jpg,VERIFIED,"TOTAL: $5.00
VERDICT: MATCH",$5.00,WRONG_FILE_ATTACHED
32,12.62,CLEAR *CLEARME.COM,2024-07-15,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/clear_clearmecom_2024-07-15_12_62.png,VERIFIED,"TOTAL: $12.62
VERDICT: MATCH",$12.62,WRONG_FILE_ATTACHED
167,45.15,CORNER PUB,2024-09-04,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/corner_pub_2024-09-04_45_15.jpg,MISMATCH,"TOTAL: $37.15
VERDICT: MISMATCH",$37.15,WRONG_FILE_ATTACHED
211,41.98,UBER *TRIP,2024-09-12,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/uber_trip_2024-09-12_41_98.png,VERIFIED,"TOTAL: $39.76
VERDICT: MATCH

This answer is based on the provided receipt, which shows a total amount of $39.76. The expected amount was $41.98, but the actual amount is $39.76, which matches the exp",$39.76,WRONG_FILE_ATTACHED
212,313.01,GOLDEN NUGGET HOTEL LV,2024-09-13,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/golden_nugget_hotel_lv_2024-09-13_313_01.png,VERIFIED,"TOTAL: $313.01
VERDICT: MATCH

The total amount shown on this receipt is indeed $313.01, which matches the expected amount. The merchant listed on this receipt is Golden Nugget Hotel LV, which matches",$313.01,WRONG_FILE_ATTACHED
245,20.00,THE GATEWAY TO NASHVILLE,2024-09-25,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/the_gateway_to_nashville_2024-09-25_20_0.jpg,MISMATCH,"TOTAL: $20.00
VERDICT: MATCH

This receipt shows a total amount of $20.00, which matches the expected amount. The expected merchant, The Gateway to Nashville, is not present on this receipt. The actua",$20.00,WRONG_FILE_ATTACHED
327,45.24,SH NASHVILLE - OTHER,2024-11-08,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2024-11-08_45_24.PNG,VERIFIED,"TOTAL: $45.24
VERDICT: MATCH",$45.24,WRONG_FILE_ATTACHED
368,123.17,GOLDEN NUGGET HOTEL LV,2024-11-29,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/golden_nugget_hotel_lv_2024-11-29_123_17.png,VERIFIED,"The total amount on this receipt is $123.17. The merchant listed on this receipt is Golden Nugget Hotel LV. Therefore, the verdict is: MATCH.",,WRONG_FILE_ATTACHED
371,32.93,MIDJOURNEY INC.,2024-11-30,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/midjourney_inc_2024-11-30_32_93.jpg,VERIFIED,"TOTAL: $32.93
VERDICT: MATCH",$32.93,WRONG_FILE_ATTACHED
390,34.44,DESERT CAB,2024-12-05,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/desert_cab_2024-12-05_34_44.jpg,MISMATCH,"TOTAL: $46.83
VERDICT: MISMATCH",$46.83,WRONG_FILE_ATTACHED
407,355.00,HOTELTONIGHT*VIRGIN HO,2024-12-07,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/hoteltonightvirgin_ho_2024-12-07_355_0.png,VERIFIED,"TOTAL: $355.00
VERDICT: MATCH
```",$355.00,WRONG_FILE_ATTACHED
