id,_index,merchant,date,amount,mismatch_reason
124,154,CHAR GREEN HILLS,2024-08-29,67.81,Mismatch detected via LLM vision (Dec 1 verification)
632,151,PMC - PAID PARKING,2024-08-28,26.22,Mismatch detected via LLM vision (Dec 1 verification)
102,124,CORNER PUB,2024-08-23,79.64,Mismatch detected via LLM vision (Dec 1 verification)
99,121,PMC - PAID PARKING,2024-08-22,22.51,Mismatch detected via LLM vision (Dec 1 verification)
91,112,METROPOLIS PARKING,2024-08-20,27.42,Mismatch detected via LLM vision (Dec 1 verification)
85,105,TM *PBR TEAMS,2024-08-17,623.10,Mismatch detected via LLM vision (Dec 1 verification)
578,97,SH NASHVILLE - OTHER,2024-08-14,27.14,Mismatch detected via LLM vision (Dec 1 verification)
78,94,METROPOLIS PARKING,2024-08-14,10.99,Mismatch detected via LLM vision (Dec 1 verification)
77,93,MAFIAOZAS,2024-08-14,15.38,Mismatch detected via LLM vision (Dec 1 verification)
75,91,OPTIMIST NASHVILLE,2024-08-13,896.44,Mismatch detected via LLM vision (Dec 1 verification)
74,90,OPTIMIST NASHVILLE,2024-08-13,44.32,Mismatch detected via LLM vision (Dec 1 verification)
73,89,O-KU NASHVILLE,2024-08-13,58.21,Mismatch detected via LLM vision (Dec 1 verification)
63,77,TST*HOMEGROWN TAPROOM &AMP;,2024-08-06,84.20,Mismatch detected via LLM vision (Dec 1 verification)
62,76,SH NASHVILLE - OTHER,2024-08-06,18.10,Mismatch detected via LLM vision (Dec 1 verification)
33,42,AUDREY - SEAN BROCK GROU,2024-07-19,1487.80,Mismatch detected via LLM vision (Dec 1 verification)
25,32,CLEAR *CLEARME.COM,2024-07-15,12.62,Mismatch detected via LLM vision (Dec 1 verification)
510,29,CLOUDFLARE,2024-07-14,5.00,Mismatch detected via LLM vision (Dec 1 verification)
507,26,SPOTIFY USA,2024-07-08,13.13,Mismatch detected via LLM vision (Dec 1 verification)
497,16,UBER TRIP,2024-07-01,81.66,Mismatch detected via LLM vision (Dec 1 verification)
10,13,EXPENSIFY INC.,2024-07-01,19.76,Mismatch detected via LLM vision (Dec 1 verification)
1,0,DD DOORDASH DOLLARGEN,2024-06-22,8.50,Mismatch: Merchant name and amount do not match. The date is also incorrect.
