index,amount,merchant,date,receipt_url,llama32_verdict,llama32_reason,llama32_total,original_llava,was_verified
350,100.00,IM-ADA.AI,2024-11-20,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/im_adaai_2024-11-20_100_0.jpg,VERIFIED,"TOTAL: $100.00
VERDICT: MATCH",$100.00,MISMATCH,VERIFIED
353,34.96,PARKING OMNI NASHVILLE PA,2024-11-21,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/parking_omni_nashville_pa_2024-11-21_34_96_3.jpg,VERIFIED,"**TOTAL: $34.96**
**VERDICT: MATCH**",$34.96**,MISMATCH,VERIFIED
370,100.00,IM-ADA.AI,2024-11-30,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/im_adaai_2024-11-30_100_0.jpg,VERIFIED,"**Receipt Analysis**

The receipt provided shows a total amount of $100.00, which matches the expected amount. The merchant's name is not explicitly mentioned on the receipt, but based on the context ",$100.00,MISMATCH,VERIFIED
373,11.00,SO PT CATALINA BAR,2024-12-02,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/so_pt_catalina_bar_2024-12-02_11_00.jpg,MISMATCH,"**Receipt Analysis**

The receipt provided is for a payment made to Social Curator, not SO PT CATALINA BAR. The total amount on this receipt is $25.00, not $11.00.

**Conclusion**

The answer is MISMA",,MISMATCH,VERIFIED
379,31.67,RWLV RW STORE HILTON,2024-12-03,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/rwlv_rw_store_hilton_2024-12-03_31_67_3.jpg,VERIFIED,"**Receipt Analysis**

*   The total amount on the receipt is $31.67.
*   The merchant listed on the receipt is ""RWLV RW STORE HILTON"".

**Answer:** TOTAL: $31.67
VERDICT: MATCH

**Explanation:**

The ",$31.67,MISMATCH,VERIFIED
384,37.18,CURB LV TAXI NELLIS,2024-12-04,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/curb_lv_taxi_nellis_2024-12-04_37_18.jpg,VERIFIED,"TOTAL: $37.18
VERDICT: MATCH

The total amount shown on this receipt is $37.18, which matches the expected amount.",$37.18,MISMATCH,VERIFIED
388,38.82,BONANNOS NY PIZZERIA D,2024-12-05,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/bonannos_ny_pizzeria_d_2024-12-05_38_82_3.jpg,VERIFIED,"The total amount on the receipt is $38.82.

**Answer:** TOTAL: $38.82
**Verdict:** MATCH",$38.82,MISMATCH,VERIFIED
389,24.25,CHICK-FIL-A LAS VEGAS,2024-12-05,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/chick_fil_a_las_vegas_2024-12-05_24_25.jpg,VERIFIED,"**TOTAL: $24.25**
**VERDICT: MATCH**",$24.25**,MISMATCH,VERIFIED
391,26.50,LAS VEGAS CONVENTION CTR,2024-12-05,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/las_vegas_convention_ctr_2024-12-05_26_5.jpg,VERIFIED,"TOTAL: $26.50
VERDICT: MATCH

The total amount shown on the receipt is $26.50, which matches the expected amount.",$26.50,MISMATCH,VERIFIED
393,21.51,UBER *TRIP,2024-12-05,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/uber_trip_2024-12-05_21_51_3.jpg,VERIFIED,"**TOTAL:** $21.51
**VERDICT:** MATCH",** $21.51,MISMATCH,VERIFIED
396,18.89,CURB LV TAXI YCS,2024-12-06,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/curb_lv_taxi_ycs_2024-12-06_18_89_3.jpg,VERIFIED,"TOTAL: $18.89
VERDICT: MATCH

The total amount on the receipt is $18.89, which matches the expected amount.",$18.89,MISMATCH,VERIFIED
397,43.49,DESERT CAB,2024-12-06,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/desert_cab_2024-12-06_43_49_3.jpg,VERIFIED,"TOTAL: $43.49
VERDICT: MATCH

The total amount shown on this receipt is indeed $43.49, which matches the expected amount. The expected merchant, DESERT CAB, is also present on the receipt.",$43.49,MISMATCH,VERIFIED
402,35.21,UBER *TRIP,2024-12-06,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/uber_trip_2024-12-06_35_21_3.jpg,VERIFIED,"**TOTAL:** $35.21
**VERDICT:** MATCH

The total amount shown on this receipt is indeed $35.21, which matches the expected amount.",** $35.21,MISMATCH,VERIFIED
406,1142.43,GOLDEN NUGGET HOTEL LV,2024-12-07,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/golden_nugget_hotel_lv_2024-12-07_1142_43.png,VERIFIED,"TOTAL: $1142.43
VERDICT: MATCH

The total amount on this receipt is $1142.43, which matches the expected amount.",$1142.43,MISMATCH,VERIFIED
411,40.60,VHLV-CHOW FUN,2024-12-07,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/vhlv_chow_fun_2024-12-07_40_6.jpg,MISMATCH,"TOTAL: $33.60
VERDICT: MISMATCH",$33.60,MISMATCH,VERIFIED
414,35.00,VHLV-KITCHEN AT COMMON,2024-12-08,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/vhlv_kitchen_at_common_2024-12-08_35_0.jpg,VERIFIED,"TOTAL: $35.00
VERDICT: MATCH

The total amount shown on this receipt is $35.00, which matches the expected amount.",$35.00,MISMATCH,VERIFIED
419,15.51,SH NASHVILLE - OTHER,2024-12-12,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2024-12-12_15_51.png,VERIFIED,"TOTAL: $15.51
VERDICT: MATCH

Explanation: The total amount shown on this receipt is $15.51, which matches the expected amount.",$15.51,MISMATCH,VERIFIED
448,78.36,DEL FRISCOS GRIL BRNTWOD,2025-01-04,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/del_friscos_gril_brntwod_2025-01-04_78_36.jpg,VERIFIED,"The total amount shown on this receipt is $66.36.

**TOTAL: $66.36**
**VERDICT: MATCH**",$66.36**,MISMATCH,VERIFIED
449,65.88,DEL FRISCOS GRIL BRNTWOD,2025-01-04,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/del_friscos_gril_brntwod_2025-01-04_65_88.jpg,MISMATCH,"TOTAL: $54.88
VERDICT: MISMATCH",$54.88,MISMATCH,VERIFIED
469,26.22,PMC - PAID PARKING,2025-01-14,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2025-01-14_26_22.jpg,VERIFIED,"TOTAL: $26.22
VERDICT: MATCH

This answer was generated automatically using a combination of natural language processing (NLP) and computer vision (CV) techniques. The receipt was analyzed to extract ",$26.22,MISMATCH,VERIFIED
471,50.28,JERSEY MIKES ONLINE UC,2025-01-15,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/jersey_mikes_online_uc_2025-01-15_50_28_3.jpg,VERIFIED,"TOTAL: $50.28
VERDICT: MATCH

The receipt shows a total amount of $50.28, which matches the expected amount. The merchant is JERSEY MIKES ONLINE UC, which is also consistent with the expected merchant",$50.28,MISMATCH,VERIFIED
474,78.00,TST* MELROSE BILLIARD PAR,2025-01-16,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tst_melrose_billiard_par_2025-01-16_78_0.jpg,MISMATCH,"The total amount shown on this receipt is $62.00. The expected amount is $78.00, but the actual amount is $62.00. Therefore, the verdict is MISMATCH. 

TOTAL: $62.00
VERDICT: MISMATCH",$62.00,MISMATCH,VERIFIED
480,45.24,SH NASHVILLE - OTHER,2025-01-21,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-01-21_45_24.PNG,VERIFIED,"TOTAL: $45.24
VERDICT: MATCH",$45.24,MISMATCH,VERIFIED
485,7.76,SH NASHVILLE - OTHER,2025-01-22,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-01-22_7_76.png,VERIFIED,"TOTAL: $7.76
VERDICT: MATCH

The total amount shown on this receipt is $7.76, which matches the expected amount.",$7.76,MISMATCH,VERIFIED
487,21.95,CLAUDE.AI SUBSCRIPTION,2025-01-24,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/claudeai_subscription_2025-01-24_21_95.jpg,VERIFIED,"TOTAL: $21.95
VERDICT: MATCH

The total amount shown on this receipt is indeed $21.95, which matches the expected amount.",$21.95,MISMATCH,VERIFIED
499,65.86,SH NASHVILLE F&AMP;B,2025-02-05,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_fampb_2025-02-05_65_86.jpg,MISMATCH,"TOTAL: $54.88
VERDICT: MISMATCH",$54.88,MISMATCH,VERIFIED
500,105.38,TST*BROWNS DINER,2025-02-05,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tstbrowns_diner_2025-02-05_105_38.jpg,VERIFIED,"TOTAL: $88.38
VERDICT: MATCH",$88.38,MISMATCH,VERIFIED
502,19.37,CHAR GREEN HILLS,2025-02-07,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/char_green_hills_2025-02-07_19_37_3.jpg,MISMATCH,"TOTAL: $15.37
VERDICT: MISMATCH",$15.37,MISMATCH,VERIFIED
504,38.73,FIRST WATCH - 0462,2025-02-07,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/first_watch_0462_2025-02-07_38_73.jpg,MISMATCH,"TOTAL: $18.22
VERDICT: MISMATCH",$18.22,MISMATCH,VERIFIED
536,261.61,SH NASHVILLE F&AMP;B,2025-02-20,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_fampb_2025-02-20_261_61.jpg,VERIFIED,"TOTAL: $261.61
VERDICT: MATCH",$261.61,MISMATCH,VERIFIED
547,85.64,SH NASHVILLE - OTHER,2025-02-26,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-02-26_85_64.jpg,VERIFIED,"TOTAL: $85.22
VERDICT: MATCH

The total amount on the receipt is $85.22, which matches the expected amount of $85.64.",$85.22,MISMATCH,VERIFIED
550,32.93,MIDJOURNEY INC.,2025-02-28,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/midjourney_inc_2025-02-28_32_93.jpg,VERIFIED,"TOTAL: $32.93
VERDICT: MATCH",$32.93,MISMATCH,VERIFIED
566,4.88,LAZ PARKING M32180-FLOWB,2025-03-07,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/laz_parking_m32180_flowb_2025-03-07_4_88.jpg,VERIFIED,"TOTAL: $4.88
VERDICT: MATCH",$4.88,MISMATCH,VERIFIED
629,318.28,KIT.COM,2025-04-12,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/kitcom_2025-04-12_318_28.jpg,VERIFIED,"TOTAL: $318.28
VERDICT: MATCH

The total amount shown on this receipt is $318.28, which matches the expected amount.",$318.28,MISMATCH,VERIFIED
631,11.27,TST*WHITE RHINO COFFEE -,2025-04-12,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tstwhite_rhino_coffee_2025-04-12_11_27.jpg,MISMATCH,"TOTAL: $11.26
VERDICT: MISMATCH",$11.26,MISMATCH,VERIFIED
702,9.00,HUGGINGFACE,2025-05-23,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/huggingface_2025-05-23_9_0.jpg,VERIFIED,"TOTAL: $9.00
VERDICT: MATCH

The total amount shown on this receipt is $9.00, which matches the expected amount.",$9.00,MISMATCH,VERIFIED
726,13.13,SPOTIFY USA,2025-06-08,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2025-06-08_13_13_3.jpg,VERIFIED,"TOTAL: $13.13
VERDICT: MATCH

The total amount shown on this receipt is $13.13, which matches the expected amount.",$13.13,MISMATCH,VERIFIED
730,5.84,TST*THE FLOWER KITCHEN,2025-06-13,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tstthe_flower_kitchen_2025-06-13_5_84.jpg,VERIFIED,"TOTAL: $5.84
VERDICT: MATCH

The total amount shown on the receipt is indeed $5.84. This matches the expected amount.",$5.84,MISMATCH,VERIFIED
731,10.00,CLOUDFLARE,2025-06-14,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2025-06-14_10_0.jpg,VERIFIED,"**Receipt Analysis**

The receipt provided is for an invoice from Cloudflare, with a total amount of $10.00. 

**Conclusion**

The total amount shown on this receipt is $10.00. This matches the expect",$10.00,MISMATCH,VERIFIED
739,9.00,HUGGINGFACE,2025-06-24,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/huggingface_2025-06-24_9_0.jpg,VERIFIED,"TOTAL: $9.00
VERDICT: MATCH

The total amount shown on this receipt is indeed $9.00, which matches the expected amount.",$9.00,MISMATCH,VERIFIED
749,13.13,SPOTIFY USA,2025-07-08,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2025-07-08_13_13_3.jpg,VERIFIED,"TOTAL: $13.13
VERDICT: MATCH

The total amount on this receipt is indeed $13.13, which matches the expected amount.",$13.13,MISMATCH,VERIFIED
757,75.56,TST*LEMONGRASS SUSHI AND,2025-07-21,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tstlemongrass_sushi_and_2025-07-21_75_56_3.jpg,MISMATCH,"TOTAL: $62.56
VERDICT: MISMATCH",$62.56,MISMATCH,VERIFIED
758,21.95,CLAUDE.AI SUBSCRIPTION,2025-07-24,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/claudeai_subscription_2025-07-24_21_95.jpg,VERIFIED,"TOTAL: $21.95
VERDICT: MATCH",$21.95,MISMATCH,VERIFIED
763,5.00,EVERY STUDIO,2025-07-30,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/every_studio_2025-07-30_5_0.jpg,VERIFIED,"TOTAL: $5.00
VERDICT: MATCH",$5.00,MISMATCH,VERIFIED
805,25.00,IM-ADA.AI,2024-10-18,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/im_adaai_2024-10-18_25_0.jpg,VERIFIED,"TOTAL: $25.00
VERDICT: MATCH",$25.00,MISMATCH,VERIFIED
823,32.93,Midjourney,2024-11-18,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/receipt_19a2665bba37_att1.jpg,VERIFIED,"TOTAL: $32.93
VERDICT: MATCH",$32.93,MISMATCH,VERIFIED
831,5.00,railway corporation,2025-10-28,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/incoming/receipt_19a28cbc06ea_att0.jpg,VERIFIED,"TOTAL: $5.00
VERDICT: MATCH

The total amount shown on this receipt is $5.00, which matches the expected amount.",$5.00,MISMATCH,VERIFIED
