ID,Merchant,Amount,Date,Category,Action,OCR_Merchant,OCR_Amount,Current_File
1360,"SPOTIFY USA",13.13,2025-04-08,SUBSCRIPTION,"Download from Spotify account","Spotify USA Inc.",0.00,"622_spotify_usa_13_13_20250408_622.jpg"
1418,"LAZ PARKING M32180-FLOWB",7.38,2025-05-09,PARKING,"Search SMS or Gmail for receipt","Metropolis",21.00,"tx_683_laz_parking_m32180_flowb_2025-05-09_7_38.jpg"
1419,"VIRGIN HOTEL - COMMONS",28.45,2025-05-09,HOTEL,"Search Gmail for folio","Virgin Hotels Las Vegas  Curio Collection by Hilton",355.00,"tx_684_virgin_hotel_commons_2025-05-09_28_45.jpg"
1429,"AI.FYXER.COM",60.00,2025-05-15,AI_SERVICE,"Download from service account or Gmail","unknown",,"694_ai_fyxer_com_60_00_20250515_694.jpg"
1567,"PMC - PAID PARKING",40.39,2025-08-09,PMC_PARKING,"Search SMS for receipt","PMC Parking",40.39,"pmc_paid_parking_2025-08-09_40_39_sms_receipt.png"
1603,"IDEOGRAM AI",20.00,2025-10-03,AI_SERVICE,"Download from service account or Gmail","Ideogram AI",-20.00,"ideogram_ai_2025-10-03_20_0.png"
1621,"2THE FORUM-LEVY FB-S4",19.50,2024-06-28,RESTAURANT,"Search Gmail for receipt","",,"2024-06-28_2THE_FORUM_LEVY_FB_S4_$19_50.html"
1623,"PMC - PAID PARKING",9.29,2024-07-12,PMC_PARKING,"Search SMS for receipt","Vertis Commercial Garage",18.58,"pmc_paid_parking_2024-07-12_9_29.png"
1629,"PMC - PAID PARKING",26.22,2024-10-16,PMC_PARKING,"Search SMS for receipt","PMC",52.44,"pmc_paid_parking_2024-10-16_26_22.png"
1645,"IM-ADA.AI",25.00,2024-09-28,AI_SERVICE,"Download from service account or Gmail","",,"812_09-28-2024_IM-ADA.AI_2.pdf"
1651,"PMC - PAID PARKING",9.29,2024-07-12,PMC_PARKING,"Search SMS for receipt","Vertis Commercial Garage",18.58,"pmc_paid_parking_2024-07-12_9_29_2.png"
1657,"PMC - PAID PARKING",26.22,2024-10-16,PMC_PARKING,"Search SMS for receipt","PMC",52.44,"pmc_paid_parking_2024-10-16_26_22_2.png"
4266,"railway corporation",5.00,2025-10-28,OTHER,"Search Gmail or download from account","",,"NO FILE"
4271,"claude",109.75,2025-12-01,OTHER,"Search Gmail or download from account","",,"NO FILE"
4272,"ideogram",20.00,2025-12-01,OTHER,"Search Gmail or download from account","Ideogram AI",-20.00,"ideogram_ai_20_receipt.png"
4273,"midjourney",21.95,2025-12-01,OTHER,"Search Gmail or download from account","",,"NO FILE"
4289,"Soho House Membership",2640.00,2024-10-01,OTHER,"Search Gmail or download from account","Soho House",,"NO FILE"
4293,"PARKING - 818 18TH AVE S",8.99,2025-11-18,PARKING,"Search SMS or Gmail for receipt","Soho House Nashville",53.98,"CARTA_NORTH_GARAGE_8_00_20241228_1.jpg"
