index,date,amount,merchant,description,receipt_url,mismatch_category,mismatch_reason,gemini_verdict,llama_verdict,llava_verdict
682,2025-05-08,$13.13,SPOTIFY USA,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2025-05-08_13_13.jpg,AMOUNT_MISMATCH,The image provided does not match the details you have specified. The receipt shows a total of $13.1,RATE_LIMITED,,MISMATCH
691,2025-05-14,$49.00,RESPONSIVE-MENU-PRO-4,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/responsive_menu_pro_4_2025-05-14_49_0.jpg,AMOUNT_MISMATCH,"The amount on the receipt is $50.00, which does not match the expected total of $49.00.",RATE_LIMITED,,MISMATCH
694,2025-05-15,$60.00,AI.FYXER.COM,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/aifyxercom_2025-05-15_60_0.jpg,AMOUNT_MISMATCH,The image provided is a screenshot of an email with a receipt attached. The total amount on the rece,RATE_LIMITED,,MISMATCH
705,2025-05-26,$9.99,COWBOY CHANNEL PLUS,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cowboy_channel_plus_2025-05-26_9_99_3.jpg,AMOUNT_MISMATCH,The amount on the receipt does not match the expected total.,RATE_LIMITED,,MISMATCH
764,2025-07-30,$20.00,VZWRLSS*PREPAID PYMNT,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/vzwrlssprepaid_pymnt_2025-07-30_20_0.jpg,AMOUNT_MISMATCH,"The amount on the receipt is $10.00, not $20.00 as indicated in the question.",RATE_LIMITED,,MISMATCH
775,2025-08-14,$10.00,CLOUDFLARE,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2025-08-14_10_00.jpg,AMOUNT_MISMATCH,"The receipt is from CLOUDFLARE and the merchant name matches. However, the amount is $5.00, while the bank transaction is $10.00. The date on the receipt is January 14, 2025, while the bank transaction date is August 14, 2025. The amount and date do not match.",MISMATCH,,
42,2024-07-19,$1487.80,AUDREY - SEAN BROCK GROU,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/audrey_sean_brock_grou_2024-07-19_1487_8.jpg,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
76,2024-08-06,$18.10,SH NASHVILLE - OTHER,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2024-08-06_18_1.jpg,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
77,2024-08-06,$84.20,TST*HOMEGROWN TAPROOM &AMP;,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tsthomegrown_taproom_amp_2024-08-06_84_2.jpg,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
89,2024-08-13,$58.21,O-KU NASHVILLE,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/o_ku_nashville_2024-08-13_58_21.jpeg,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
90,2024-08-13,$44.32,OPTIMIST NASHVILLE,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/optimist_nashville_2024-08-13_44_32_3.jpg,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
91,2024-08-13,$896.44,OPTIMIST NASHVILLE,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/optimist_nashville_2024-08-13_896_44_3.jpg,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
93,2024-08-14,$15.38,MAFIAOZAS,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/mafiaozas_2024-08-14_15_38_3.jpg,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
94,2024-08-14,$10.99,METROPOLIS PARKING,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2024-08-14_10_99_3.jpg,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
97,2024-08-14,$27.14,SH NASHVILLE - OTHER,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2024-08-14_27_14.jpg,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
105,2024-08-17,$623.10,TM *PBR TEAMS,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tm_pbr_teams_2024-08-17_623_1.jpg,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
112,2024-08-20,$27.42,METROPOLIS PARKING,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2024-08-20_27_42_3.jpg,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
121,2024-08-22,$22.51,PMC - PAID PARKING,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2024-08-22_22_51_3.jpg,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
124,2024-08-23,$79.64,CORNER PUB,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/corner_pub_2024-08-23_79_64_3.jpg,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
151,2024-08-28,$26.22,PMC - PAID PARKING,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2024-08-28_26_22.jpg,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
159,2024-08-31,$23.14,APPLE.COM/BILL,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/applecombill_2024-08-31_23_14_3.jpg,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
165,2024-09-04,$59.16,12 SOUTH TAPROOM &AMP; GRILL,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/12_south_taproom_amp_grill_2024-09-04_59_16.jpg,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
166,2024-09-04,$39.78,CORNER PUB,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/corner_pub_2024-09-04_39_78_3.jpg,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
168,2024-09-04,$24.59,PMC - PAID PARKING,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2024-09-04_24_59.png,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
182,2024-09-07,$26.25,METROPOLIS PARKING,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2024-09-07_26_25_3.jpg,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
187,2024-09-08,$318.00,CLEAR *CLEARME.COM,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/clear_clearmecom_2024-09-08_318_0.png,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
198,2024-09-10,$43.50,BINION'S BARS,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/binions_bars_2024-09-10_43_5.jpg,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
208,2024-09-12,$27.22,GNLV THE GRILLE,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/gnlv_the_grille_2024-09-12_27_22.jpg,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
214,2024-09-14,$5.00,CLOUDFLARE,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2024-09-14_5_0.jpg,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
221,2024-09-16,$26.22,PMC - PAID PARKING,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2024-09-16_26_22.png,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
227,2024-09-18,$10.99,METROPOLIS PARKING,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2024-09-18_10_99_3.jpg,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
228,2024-09-18,$29.22,PMC - PAID PARKING,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2024-09-18_29_22.png,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
230,2024-09-19,$14.09,AMERICANO LOUNGE,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/americano_lounge_2024-09-19_14_09.png,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
234,2024-09-20,$26.25,METROPOLIS PARKING,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2024-09-20_26_25_3.jpg,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
235,2024-09-21,$5.60,201 BELCOURT LOT,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/201_belcourt_lot_2024-09-21_5_6.jpg,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
239,2024-09-24,$21.95,CLAUDE.AI SUBSCRIPTION,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/claudeai_subscription_2024-09-24_21_95.jpg,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
242,2024-09-25,$5.18,LAZGO NASHVILLE M32180,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/lazgo_nashville_m32180_2024-09-25_5_18.jpg,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
243,2024-09-25,$26.22,PMC - PAID PARKING,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2024-09-25_26_22.png,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
256,2024-10-03,$20.76,PMC - PAID PARKING,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2024-10-03_20_76.png,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
259,2024-10-03,$27.40,TST*HEARTS CAFE,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tsthearts_cafe_2024-10-03_27_4.jpg,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
261,2024-10-04,$23.14,APPLE.COM/BILL,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/applecombill_2024-10-04_23_14_3.jpg,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
262,2024-10-04,$25.00,IM-ADA.AI,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/im_adaai_2024-10-04_25_0.jpg,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
264,2024-10-04,$23.27,SH NASHVILLE - OTHER,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2024-10-04_23_27.jpg,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
269,2024-10-08,$83.92,CORNER PUB,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/corner_pub_2024-10-08_83_92.heic,NO_REASON_GIVEN,,RATE_LIMITED,ERROR,MISMATCH
270,2024-10-08,$50.00,IM-ADA.AI,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/im_adaai_2024-10-08_50_0.jpg,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
274,2024-10-10,$123.79,12 SOUTH TAPROOM &AMP; GRILL,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/12_south_taproom_amp_grill_2024-10-10_123_79_3.jpg,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
276,2024-10-11,$24.22,DD *DOORDASH LASPALMAS,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/dd_doordash_laspalmas_2024-10-11_24_22.jpg,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
278,2024-10-11,$27.14,SH NASHVILLE - OTHER,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2024-10-11_27_14.jpg,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
279,2024-10-11,$62.04,SH NASHVILLE - OTHER,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2024-10-11_62_04.jpg,NO_REASON_GIVEN,,RATE_LIMITED,MISMATCH,
362,2024-11-25,$51.98,CORNER PUB,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/corner_pub_2024-11-25_51_98.heic,NO_REASON_GIVEN,,,,MISMATCH
180,2024-09-07,$10.96,APPLE.COM/BILL,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/applecombill_2024-09-07_10_96_3.jpg,OTHER,The image provided does not contain the necessary information to verify the receipt. It is a screens,RATE_LIMITED,,MISMATCH
351,2024-11-20,$20.66,METROPOLIS PARKING,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2024-11-20_20_66.jpg,OTHER,The image provided is not clear enough to read the details accurately. The text on the receipt is to,,,MISMATCH
380,2024-12-03,$22.37,STARBUCKS 65853,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/starbucks_65853_2024-12-03_22_37_3.jpg,OTHER,The image provided is of poor quality and the text on the receipt is not clearly legible. It is diff,,,MISMATCH
386,2024-12-04,$75.00,PROFESSIONAL RODEO COWBO,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/professional_rodeo_cowbo_2024-12-04_75_0.jpeg,OTHER,The image provided is too blurry to read the details accurately.,,,MISMATCH
695,2025-05-15,$54.86,ELEMENTOR.COM,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/elementorcom_2025-05-15_54_86.jpg,OTHER,"The image provided is a screenshot of an email with a receipt attached, which contains a watermark a",RATE_LIMITED,,MISMATCH
766,2025-08-02,$30.16,MONGODBCLOUD BRIANS...,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/mongodbcloud_brians_2025-08-02_30_16_3.jpg,OTHER,The image provided does not contain the necessary information to verify if it matches the receipt de,RATE_LIMITED,,MISMATCH
395,2024-12-06,$29.87,CURB LV TAXI YCS,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/curb_lv_taxi_ycs_2024-12-06_29_87.jpg,UNREADABLE,"The image provided is of a receipt, but the text on it is not clearly legible. Therefore, I cannot v",,,MISMATCH
13,2024-07-01,$19.76,EXPENSIFY INC.,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/expensify_inc_2024-07-01_19_76_3.jpg,WRONG_FILE_ATTACHED,The image provided does not contain a receipt. It appears to be a screenshot of a webpage or applica,RATE_LIMITED,,MISMATCH
16,2024-07-01,$81.66,UBER TRIP,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/uber_trip_2024-07-01_81_66.png,WRONG_FILE_ATTACHED,The image provided does not contain a receipt. It appears to be a screenshot of a mobile device disp,RATE_LIMITED,,MISMATCH
26,2024-07-08,$13.13,SPOTIFY USA,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2024-07-08_13_13_3.jpg,WRONG_FILE_ATTACHED,The image provided does not contain a receipt. It appears to be a screenshot of a mobile device disp,RATE_LIMITED,,MISMATCH
29,2024-07-14,$5.00,CLOUDFLARE,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2024-07-14_5_0.jpg,WRONG_FILE_ATTACHED,The image provided does not contain a receipt. It appears to be a screenshot of a webpage with an er,RATE_LIMITED,,MISMATCH
32,2024-07-15,$12.62,CLEAR *CLEARME.COM,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/clear_clearmecom_2024-07-15_12_62.png,WRONG_FILE_ATTACHED,The image provided does not contain a receipt. It appears to be a screenshot of a webpage with a mes,RATE_LIMITED,,MISMATCH
167,2024-09-04,$45.15,CORNER PUB,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/corner_pub_2024-09-04_45_15.jpg,WRONG_FILE_ATTACHED,The image provided does not contain a receipt. Please provide the actual receipt for verification.,RATE_LIMITED,,MISMATCH
211,2024-09-12,$41.98,UBER *TRIP,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/uber_trip_2024-09-12_41_98.png,WRONG_FILE_ATTACHED,The image provided does not contain a receipt. It appears to be a screenshot of a mobile device disp,RATE_LIMITED,ERROR,MISMATCH
212,2024-09-13,$313.01,GOLDEN NUGGET HOTEL LV,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/golden_nugget_hotel_lv_2024-09-13_313_01.png,WRONG_FILE_ATTACHED,The image provided does not contain a receipt with the specified details. It appears to be an image ,RATE_LIMITED,,MISMATCH
245,2024-09-25,$20.00,THE GATEWAY TO NASHVILLE,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/the_gateway_to_nashville_2024-09-25_20_0.jpg,WRONG_FILE_ATTACHED,The image provided does not contain a receipt. It appears to be a screenshot of a computer screen di,RATE_LIMITED,,MISMATCH
327,2024-11-08,$45.24,SH NASHVILLE - OTHER,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2024-11-08_45_24.PNG,WRONG_FILE_ATTACHED,The image provided does not contain a receipt. It appears to be a screenshot of a mobile device disp,,,MISMATCH
368,2024-11-29,$123.17,GOLDEN NUGGET HOTEL LV,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/golden_nugget_hotel_lv_2024-11-29_123_17.png,WRONG_FILE_ATTACHED,The image provided does not contain a receipt. It appears to be a screenshot of a webpage with an im,,,MISMATCH
371,2024-11-30,$32.93,MIDJOURNEY INC.,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/midjourney_inc_2024-11-30_32_93.jpg,WRONG_FILE_ATTACHED,The image provided does not contain a receipt with the specified details. Please provide an actual r,,,MISMATCH
390,2024-12-05,$34.44,DESERT CAB,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/desert_cab_2024-12-05_34_44.jpg,WRONG_FILE_ATTACHED,"The image provided does not contain a receipt. It appears to be a screenshot of an Uber receipt, but",,,MISMATCH
407,2024-12-07,$355.00,HOTELTONIGHT*VIRGIN HO,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/hoteltonightvirgin_ho_2024-12-07_355_0.png,WRONG_FILE_ATTACHED,The image provided does not contain a receipt with the specified details. It appears to be a screens,RATE_LIMITED,,MISMATCH
413,2024-12-08,$13.13,SPOTIFY USA,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2024-12-08_13_13_3.jpg,WRONG_FILE_ATTACHED,The image provided does not contain a receipt with the specified details. It appears to be a screens,RATE_LIMITED,,MISMATCH
467,2025-01-14,$5.00,CLOUDFLARE,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2025-01-14_5_0.jpg,WRONG_FILE_ATTACHED,The image provided does not contain a receipt with the specified details. It appears to be an error ,,,MISMATCH
489,2025-01-25,$44.25,SHOEBOXED.COM,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/shoeboxedcom_2025-01-25_44_25.jpg,WRONG_FILE_ATTACHED,The image provided does not contain a receipt with the specified details. It appears to be an advert,,,MISMATCH
526,2025-02-14,$10.00,CLOUDFLARE,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2025-02-14_10_0.jpg,WRONG_FILE_ATTACHED,The image provided does not contain a receipt with the specified details.,,,MISMATCH
641,2025-04-14,$10.00,CLOUDFLARE,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2025-04-14_10_0.jpg,WRONG_FILE_ATTACHED,The image provided does not contain a receipt with the specified details.,RATE_LIMITED,,MISMATCH
685,2025-05-10,$20.00,VZWRLSS*PREPAID PYMNT,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/vzwrlssprepaid_pymnt_2025-05-10_20_0.jpg,WRONG_FILE_ATTACHED,The image provided does not contain a receipt with the specified details. It appears to be an image ,RATE_LIMITED,,MISMATCH
748,2025-07-08,$37.67,MONGODBCLOUD BRIANS...,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/mongodbcloud_brians_2025-07-08_37_67_3.jpg,WRONG_FILE_ATTACHED,The image provided does not contain a receipt with the specified details.,RATE_LIMITED,,MISMATCH
762,2025-07-28,$0.75,HIVE CO,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/hive_co_2025-07-28_0_75_3.jpg,WRONG_FILE_ATTACHED,The image provided does not contain a receipt with the specified details. It appears to be an unrela,RATE_LIMITED,,MISMATCH
773,2025-08-09,$40.39,PMC - PAID PARKING,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2025-08-09_40_39_3.jpg,WRONG_FILE_ATTACHED,"The image shows a 403 error page, not a receipt. Therefore, no information can be extracted to match the bank transaction.",MISMATCH,,
