index,date,amount,merchant,receipt_url,verdict,receipt_total,reason
322,2024-11-07,$20.64,SQ *CANNERY HALL,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sq_cannery_hall_2024-11-07_20_64_3.jpg,VERIFIED,20.64,"The receipt matches the provided details: Amount: $20.64, Merchant: SQ *CANNERY HALL, Date: 2024-11-"
323,2024-11-07,$12.46,SQ *DISTRICT COFFEE,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sq_district_coffee_2024-11-07_12_46_3.jpg,VERIFIED,$12.46,The receipt matches the provided details.
324,2024-11-08,$10.00,CALENDARBRIDGE,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/calendarbridge_2024-11-08_10_0.jpg,MISMATCH,10.0,"The amount on the receipt is $10.00, which does not match the expected total of $10.00."
325,2024-11-08,$25.57,DD *DOORDASH LASPALMAS,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/dd_doordash_laspalmas_2024-11-08_25_57.png,VERIFIED,$25.57,"The image shows a receipt with the following details: Amount: $25.57, Merchant: DD *DOORDASH LASPALM"
326,2024-11-08,$10.99,METROPOLIS PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2024-11-08_10_99_3.jpg,MISMATCH,$10.99,"The image shows a receipt with an amount of $10.99, but the merchant listed is 'METROPOLIS PARKING' "
328,2024-11-08,$13.13,SPOTIFY USA,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2024-11-08_13_13_3.jpg,VERIFIED,13.13,"The receipt matches the details provided: Amount is $13.13, Merchant is SPOTIFY USA, and Date is 202"
329,2024-11-09,$50.00,IM-ADA.AI,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/im_adaai_2024-11-09_50_0.jpg,MISMATCH,50.0,The amount on the receipt does not match the expected total of $50.00.
330,2024-11-12,$176.99,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2024-11-12_176_99.jpg,VERIFIED,$176.99,"The receipt matches the details provided: Amount: $176.99, Merchant: SH NASHVILLE - OTHER, Date: 202"
331,2024-11-12,$361.72,SH NASHVILLE F&AMP;B,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_fampb_2024-11-12_361_72.jpg,MISMATCH,361.72,"The receipt shows a total of $361.72, which does not match the expected amount of $361.72."
332,2024-11-13,$1043.66,GIVERGY: CHARITY EVENT,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/givergy_charity_event_2024-11-13_1043_66_3.jpg,VERIFIED,$1043.66,"The receipt matches the details provided: Amount: $1043.66, Merchant: GIVERGY: CHARITY EVENT, Date: "
333,2024-11-13,$15.99,METROPOLIS PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2024-11-13_15_99_3.jpg,VERIFIED,$15.99,"The receipt matches the details provided: Amount is $15.99, Merchant is METROPOLIS PARKING, and Date"
334,2024-11-13,$9.00,SOURCEGRAPH INC,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sourcegraph_inc_2024-11-13_9_0.jpg,VERIFIED,$9.00,The receipt matches the provided details.
335,2024-11-13,$42.01,SQ *THE PERCH,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sq_the_perch_2024-11-13_42_01.jpg,VERIFIED,$42.01,"The receipt matches the details provided: Amount: $42.01, Merchant: SQ *THE PERCH, Date: 2024-11-13."
336,2024-11-14,$279.44,12 SOUTH TAPROOM &AMP; GRILL,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/12_south_taproom_amp_grill_2024-11-14_279_44.jpg,MISMATCH,$279.44,The amount on the receipt does not match the expected total of $279.44.
337,2024-11-14,$27.44,ANTHROPIC,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/anthropic_2024-11-14_27_44.jpg,VERIFIED,27.44,Amount and merchant match the provided details.
338,2024-11-14,$5.00,CLOUDFLARE,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2024-11-14_5_0.jpg,VERIFIED,5.0,"The image shows a receipt with the following details: Amount: $5.00, Merchant: CLOUDFLARE, Date: 202"
339,2024-11-14,$15.99,METROPOLIS PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2024-11-14_15_99_3.jpg,VERIFIED,$15.99,"The receipt matches the details provided: Amount is $15.99, Merchant is METROPOLIS PARKING, and Date"
340,2024-11-14,$7.76,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2024-11-14_7_76.jpg,VERIFIED,$7.76,"The receipt matches the details provided: Amount: $7.76, Merchant: SH NASHVILLE - OTHER, Date: 2024-"
342,2024-11-15,$15.99,METROPOLIS PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2024-11-15_15_99_3.jpg,VERIFIED,$15.99,"The receipt matches the details provided: Amount is $15.99, Merchant is METROPOLIS PARKING, and Date"
344,2024-11-15,$16.80,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2024-11-15_16_8.jpg,VERIFIED,$16.80,"The receipt matches the details provided: Amount: $16.80, Merchant: SH NASHVILLE - OTHER, Date: 2024"
346,2024-11-16,$26.25,METROPOLIS PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2024-11-16_26_25_3.jpg,VERIFIED,26.25,"The receipt matches the details provided: Amount is $26.25, Merchant is METROPOLIS PARKING, and Date"
347,2024-11-17,$47.34,BROADWAY BREWHOUSE DOWNTO,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/broadway_brewhouse_downto_2024-11-17_47_34_3.jpg,MISMATCH,47.34,"The amount on the receipt is $47.34, which does not match the expected total of $47.34."
348,2024-11-18,$160.00,CHARTMETRIC,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/chartmetric_2024-11-18_160_0.jpg,VERIFIED,$160.00,"The image shows a receipt with the following details: Amount: $160.00, Merchant: CHARTMETRIC, Date: "
349,2024-11-19,$30.69,MARSH HOUSE,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/marsh_house_2024-11-19_30_69.jpg,VERIFIED,30.69,The receipt matches the provided details.
350,2024-11-20,$100.00,IM-ADA.AI,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/im_adaai_2024-11-20_100_0.jpg,MISMATCH,100.0,"The amount on the receipt is $100.00, which does not match the expected total of $100.00."
352,2024-11-21,$26.25,METROPOLIS PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2024-11-21_26_25_3.jpg,VERIFIED,$26.25,"The receipt matches the details provided: Amount of $26.25, Merchant as METROPOLIS PARKING, and Date"
353,2024-11-21,$34.96,PARKING OMNI NASHVILLE PA,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/parking_omni_nashville_pa_2024-11-21_34_96_3.jpg,MISMATCH,$34.96,"The receipt shows a total of $34.96, which does not match the expected amount of $34.96."
354,2024-11-22,$34.90,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2024-11-22_34_9.jpg,VERIFIED,34.9,"The receipt matches the details provided: Amount: $34.9, Merchant: SH NASHVILLE - OTHER, Date: 2024-"
355,2024-11-22,$59.46,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2024-11-22_59_46.png,VERIFIED,$59.46,"The image shows a receipt with the following details: Amount: $59.46, Merchant: SH NASHVILLE - OTHER"
356,2024-11-22,$15.51,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2024-11-22_15_51.jpg,VERIFIED,$15.51,"The receipt matches the details provided: Amount: $15.51, Merchant: SH NASHVILLE - OTHER, Date: 2024"
357,2024-11-23,$26.25,METROPOLIS PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2024-11-23_26_25_3.jpg,VERIFIED,$26.25,The receipt matches the details provided.
358,2024-11-24,$21.95,CLAUDE.AI SUBSCRIPTION,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/claudeai_subscription_2024-11-24_21_95.jpg,VERIFIED,$21.95,"The receipt matches the details provided: Amount is $21.95, Merchant is CLAUDE.AI SUBSCRIPTION, and "
360,2024-11-24,$52.99,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2024-11-24_52_99.jpg,VERIFIED,52.99,"The receipt matches the details provided: Amount: $52.99, Merchant: SH NASHVILLE - OTHER, Date: 2024"
361,2024-11-25,$72.89,CORNER PUB,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/corner_pub_2024-11-25_72_89_3.jpg,VERIFIED,$72.89,The receipt matches the provided details.
363,2024-11-25,$26.25,METROPOLIS PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2024-11-25_26_25_3.jpg,VERIFIED,$26.25,"The receipt matches the details provided: Amount is $26.25, Merchant is METROPOLIS PARKING, and Date"
364,2024-11-25,$38.78,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2024-11-25_38_78.jpg,VERIFIED,$38.78,"The receipt matches the provided details: Amount: $38.78, Merchant: SH NASHVILLE - OTHER, Date: 2024"
365,2024-11-26,$26.25,METROPOLIS PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2024-11-26_26_25_3.jpg,VERIFIED,$26.25,"The receipt matches the details provided: Amount is $26.25, Merchant is METROPOLIS PARKING, and Date"
366,2024-11-27,$12.84,PMC - PAID PARKING,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2024-11-27_12_84.jpg,VERIFIED,12.84,"The image shows a receipt with the following details: Amount: $12.84, Merchant: PMC - PAID PARKING, "
367,2024-11-27,$884.98,SOUTHWES 5262584463367,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/southwes_5262584463367_2024-11-27_884_98.jpg,MISMATCH,884.98,Amount on receipt does not match the amount provided in the question.
370,2024-11-30,$100.00,IM-ADA.AI,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/im_adaai_2024-11-30_100_0.jpg,MISMATCH,$100.00,The amount on the receipt does not match the expected amount of $100.00.
371,2024-11-30,$32.93,MIDJOURNEY INC.,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/midjourney_inc_2024-11-30_32_93.jpg,MISMATCH,32.93,The image provided does not contain a receipt with the specified details. Please provide an actual r
372,2024-12-01,$19.76,EXPENSIFY INC.,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/expensify_inc_2024-12-01_19_76_3.jpg,VERIFIED,$19.76,"The receipt matches the details provided: Amount is $19.76, Merchant is EXPENSIFY INC., and Date is "
373,2024-12-02,$11.00,SO PT CATALINA BAR,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/so_pt_catalina_bar_2024-12-02_11_00.jpg,MISMATCH,$11.00,The amount on the receipt does not match the expected amount of $11.00.
374,2024-12-02,$12.25,THE URBAN JUICER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/the_urban_juicer_2024-12-02_12_25_3.jpg,VERIFIED,12.25,"The image shows a receipt with the following details: Amount: $12.25, Merchant: THE URBAN JUICER, Da"
375,2024-12-02,$51.07,UBER *TRIP,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/uber_trip_2024-12-02_51_07_3.jpg,VERIFIED,$51.07,"The receipt matches the details provided: Amount is $51.07, Merchant is UBER *TRIP, and Date is 2024"
376,2024-12-02,$37.14,UBER *TRIP,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/uber_trip_2024-12-02_37_14_3.jpg,VERIFIED,37.14,The image shows a receipt from Uber with the total amount of $37.14. The merchant is listed as 'UBER
377,2024-12-02,$20.14,WENDYS #652,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/wendys_652_2024-12-02_20_14.jpg,VERIFIED,$20.14,"The receipt matches the provided details: $20.14 for a transaction at Wendy's #652 on December 2, 20"
378,2024-12-03,$708.64,COSMOPOL-BLUE RIBBON,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cosmopol_blue_ribbon_2024-12-03_708_64.jpg,MISMATCH,708.64,The total amount on the receipt does not match the expected amount.
379,2024-12-03,$31.67,RWLV RW STORE HILTON,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/rwlv_rw_store_hilton_2024-12-03_31_67_3.jpg,MISMATCH,31.67,"The receipt shows a total of $31.67, which does not match the amount provided in the question."
380,2024-12-03,$22.37,STARBUCKS 65853,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/starbucks_65853_2024-12-03_22_37_3.jpg,UNCLEAR,," ```json
{
    ""verdict"": ""MISMATCH"",
    ""receipt_total"": 22.37,
    ""reason"": ""The image shows a r"
381,2024-12-03,$28.46,UBER *TRIP,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/uber_trip_2024-12-03_28_46_3.png,VERIFIED,$28.46,"The image shows a receipt with the following details: Amount: $28.46, Merchant: UBER *TRIP, Date: 20"
382,2024-12-03,$48.15,UBER *TRIP,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/uber_trip_2024-12-03_48_15.jpg,VERIFIED,48.15,"The receipt matches the details provided: Amount is $48.15, Merchant is UBER *TRIP, and Date is 2024"
383,2024-12-03,$24.22,UBER *TRIP,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/uber_trip_2024-12-03_24_22.jpg,VERIFIED,24.22,"The receipt matches the details provided: Amount: $24.22, Merchant: UBER *TRIP, Date: 2024-12-03."
384,2024-12-04,$37.18,CURB LV TAXI NELLIS,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/curb_lv_taxi_nellis_2024-12-04_37_18.jpg,MISMATCH,37.18,The amount on the receipt does not match the expected amount of $37.18.
386,2024-12-04,$75.00,PROFESSIONAL RODEO COWBO,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/professional_rodeo_cowbo_2024-12-04_75_0.jpeg,MISMATCH,75.0,The image provided is too blurry to read the details accurately.
388,2024-12-05,$38.82,BONANNOS NY PIZZERIA D,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/bonannos_ny_pizzeria_d_2024-12-05_38_82_3.jpg,MISMATCH,$38.82,"The receipt shows a total of $38.82, which does not match the amount provided in the question."
389,2024-12-05,$24.25,CHICK-FIL-A LAS VEGAS,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/chick_fil_a_las_vegas_2024-12-05_24_25.jpg,MISMATCH,$24.25,"The receipt shows a total of $24.25, which does not match the amount provided in the question."
