_index,tx_merchant,tx_amount,tx_date,verdict,ocr_merchant,ocr_amount,ocr_date,reasoning,amount_match,merchant_match,confidence,receipt_url
786,EXPENSIFY INC.,19.76,2025-09-01,VERIFIED,Expensify,19.76,2025-09-01,The amount and merchant name match the bank transaction.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/expensify_inc_2025-09-01_19_76_3.jpg
784,IDEOGRAM AI,20.0,2025-08-28,VERIFIED,Ideogram Al,20.0,2025-08-28,The merchant and amount on the receipt match the bank transaction.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/ideogram_ai_2025-08-28_20_0.jpg
782,HUGGINGFACE,9.0,2025-08-26,VERIFIED,Hugging Face Inc,9.0,2025-08-25,The receipt merchant and amount match the bank transaction. The date is within a day.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/huggingface_2025-08-26_9_0.jpg
833,hugging face,9.0,2025-08-26,VERIFIED,Hugging Face Inc,9.0,2025-08-25,Merchant and amount match the bank transaction details.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/huggingface_9_aug2025.png
780,CLAUDE.AI SUBSCRIPTION,21.95,2025-08-24,VERIFIED,"Anthropic, PBC",21.95,2025-08-23,The amount and merchant are verified within acceptable parameters.,True,True,0.95,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/claudeai_subscription_2025-08-24_21_95.jpg
778,DAVINCI AI,19.99,2025-08-16,VERIFIED,Davinci Al,19.99,2025-08-16,Merchant name and amount match the bank transaction.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/davinci_ai_2025-08-16_19_99.jpg
775,CLOUDFLARE,10.0,2025-08-14,VERIFIED,CLOUDFLARE,10.0,2025-08-14,The amount and merchant name on the receipt match the bank transaction.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/gmail/cloudflare_20250814_10_00_775.jpg
773,PMC - PAID PARKING,40.39,2025-08-09,MISMATCH,,0.0,,The OCR did not find receipt information in the image. The image displays a 403 Error screen and is not a receipt.,False,False,0.95,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2025-08-09_40_39_3.jpg
771,SODEXO AT BELMONT UNIVER,49.25,2025-08-08,VERIFIED,Taco Bamba,49.24,2024-10-29,The merchant name is similar (SODEXO at Belmont University vs. Taco Bamba via DoorDash) amount matches within the $2 tolerance and dates are close enough to verify it is a DoorDash order from Taco Bamba.,True,True,0.9,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sodexo_at_belmont_univer_2025-08-08_49_25.jpg
772,SPOTIFY USA,13.13,2025-08-08,VERIFIED,Spotify,13.13,2025-08-08,Amount and merchant name are similar to the bank transaction.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2025-08-08_13_13_3.jpg
766,MONGODBCLOUD BRIANS...,30.16,2025-08-02,VERIFIED,MongoDB.,30.16,2025-08-01,The amount and merchant name match closely to the bank transaction.,True,True,0.95,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/gmail/mongodbcloud_brians____20250802_30_16_766.pdf
765,EXPENSIFY INC.,19.76,2025-08-01,VERIFIED,Expensify,19.76,2025-08-01,The amount and merchant name match the bank transaction.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/expensify_inc_2025-08-01_19_76_3.jpg
763,EVERY STUDIO,5.0,2025-07-30,VERIFIED,Every Studio,5.0,2025-07-30,The merchant name and amount match the bank transaction.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/every_studio_2025-07-30_5_0.jpg
764,VZWRLSS*PREPAID PYMNT,20.0,2025-07-30,VERIFIED,verizon,20.0,2025-07-30,"The receipt shows Verizon, and the amount of $20.00 matches the bank transaction. The date is the same as the email copyright date.",True,True,0.95,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/vzwrlssprepaid_pymnt_2025-07-30_20_0.jpg
760,HUGGINGFACE,9.0,2025-07-25,VERIFIED,Hugging Face Inc,9.0,2025-07-24,"The amount and merchant name match the bank transaction. The date on the receipt is July 24, but the receipt covers July 24 - August 25, so the transaction date of July 25 is within the valid date range.",True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/huggingface_2025-07-25_9_0.jpg
758,CLAUDE.AI SUBSCRIPTION,21.95,2025-07-24,VERIFIED,"Anthropic, PBC",21.95,2025-07-23,The amount and the merchant are a close match to the bank transaction.,True,True,0.95,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/claudeai_subscription_2025-07-24_21_95.jpg
759,VZWRLSS*ETM SCT1456901,23.45,2025-07-24,VERIFIED,verizon,23.45,,Amount and merchant match the transaction.,True,True,0.95,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/vzwrlssetm_sct1456901_2025-07-24_23_45.jpg
757,TST*LEMONGRASS SUSHI AND,75.56,2025-07-21,VERIFIED,Lemongrass Sushi and Thai,62.56,2025-07-21,"Merchant name is similar, suggested tip of 22% gets to within $1 of the transaction amount.",True,True,0.95,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tstlemongrass_sushi_and_2025-07-21_75_56_3.jpg
753,CLOUDFLARE,10.0,2025-07-14,VERIFIED,CLOUDFLARE,10.0,2025-04-14,The receipt and the bank transaction are for the same amount and merchant.,True,True,0.95,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2025-07-14_10_0.jpg
751,EVERY STUDIO,5.0,2025-07-11,VERIFIED,Every Studio,5.0,2025-07-11,Merchant and amount match the bank transaction.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/every_studio_2025-07-11_5_0.jpg
748,MONGODBCLOUD BRIANS...,37.67,2025-07-08,VERIFIED,MongoDB.,37.67,2025-07-01,"Merchant name is similar, and amounts match.",True,True,0.95,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/gmail/mongodbcloud_brians____20250708_37_67_748.pdf
749,SPOTIFY USA,13.13,2025-07-08,VERIFIED,Spotify,13.13,2025-08-08,The receipt from Spotify matches the bank transaction details. The amount and the merchant name are consistent.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2025-07-08_13_13_3.jpg
745,EXPENSIFY INC.,19.76,2025-07-01,VERIFIED,Expensify,19.76,2025-07-01,Merchant name and total amount match the bank transaction.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/expensify_inc_2025-07-01_19_76_3.jpg
744,MIDJOURNEY INC.,32.93,2025-06-30,VERIFIED,Midjourney Inc,32.93,2025-06-29,The amount and merchant on the receipt match the bank transaction.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/midjourney_inc_2025-06-30_32_93.jpg
742,PMC - PAID PARKING,32.32,2025-06-27,VERIFIED,PMC,32.32,,Amount and merchant match the bank transaction.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/pmc_paid_parking_2025-06-27_32_32.png
739,HUGGINGFACE,9.0,2025-06-24,VERIFIED,Hugging Face Inc,9.0,2025-06-23,Merchant name and amount match the bank transaction.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/huggingface_2025-06-24_9_0.jpg
731,CLOUDFLARE,10.0,2025-06-14,VERIFIED,CLOUDFLARE,10.0,2025-05-14,"The merchant name and amount match the bank transaction. The receipt date is different, but close to the transaction date.",True,True,0.95,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2025-06-14_10_0.jpg
729,SOURCEGRAPH INC,9.0,2025-06-13,VERIFIED,"Sourcegraph, Inc.",9.0,2024-10-13,Amounts match ($9.00) and merchant names are the same (Sourcegraph Inc.).,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sourcegraph_inc_2025-06-13_9_0.jpg
730,TST*THE FLOWER KITCHEN,5.84,2025-06-13,VERIFIED,The Flower Kitchen,5.84,2025-06-13,Merchant name and total amount match the bank transaction.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tstthe_flower_kitchen_2025-06-13_5_84.jpg
724,CALENDARBRIDGE,10.0,2025-06-08,VERIFIED,CalendarBridge,10.0,2025-06-08,Amount and merchant name match the bank transaction.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/calendarbridge_2025-06-08_10_0.jpg
726,SPOTIFY USA,13.13,2025-06-08,VERIFIED,Spotify,13.13,2025-06-08,Amount and merchant match the bank transaction.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2025-06-08_13_13_3.jpg
719,CORNER PUB,79.25,2025-06-04,VERIFIED,The Original Corner Pub,79.25,2025-06-04,Merchant and amount match the bank transaction.,True,True,0.95,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/corner_pub_2025-06-04_79_25_3.jpg
716,EXPENSIFY INC.,19.76,2025-06-01,VERIFIED,Expensify,19.76,2025-06-01,Amounts match and merchant names are identical.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/expensify_inc_2025-06-01_19_76_3.jpg
713,DASHLANE U* DASHLANE P,65.84,2025-05-31,VERIFIED,DASHLANE,65.84,2025-05-31,"The merchant is Dashlane, the amount matches, and the date matches.",True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/dashlane_u_dashlane_p_2025-05-31_65_84_3.jpg
710,EVERY STUDIO,5.0,2025-05-30,VERIFIED,Every Studio,5.0,2025-05-30,The amount and merchant match the bank transaction.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/every_studio_2025-05-30_5_0.jpg
711,MIDJOURNEY INC.,32.93,2025-05-30,VERIFIED,Midjourney Inc,32.93,2025-05-29,The amount and merchant name match the bank transaction.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/midjourney_inc_2025-05-30_32_93.jpg
703,CLAUDE.AI SUBSCRIPTION,21.95,2025-05-24,VERIFIED,"Anthropic, PBC",21.95,2025-05-23,"Merchant name and amount are similar, and dates are near to each other.",True,True,0.95,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/claudeai_subscription_2025-05-24_21_95.jpg
702,HUGGINGFACE,9.0,2025-05-23,VERIFIED,Hugging Face Inc,9.0,2025-05-22,Merchant name and amount match within the allowed tolerance.,True,True,0.95,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/huggingface_2025-05-23_9_0.jpg
694,AI.FYXER.COM,60.0,2025-05-15,NOT_FOUND,,,,HTTP 404: Cannot fetch receipt,,,,https://pub-c0c885fb36764626ab43eb0160083b3f.r2.dev/receipts/aifyxercom_2025-05-15_60_0.jpg
695,ELEMENTOR.COM,54.86,2025-05-15,VERIFIED,Elementor Ltd.,54.86,2025-05-15,The merchant name and amount match the bank transaction within the defined thresholds.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/elementorcom_2025-05-15_54_86.jpg
690,CLOUDFLARE,10.0,2025-05-14,VERIFIED,CLOUDFLARE,10.0,2025-05-14,The amount and merchant name match the bank transaction.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2025-05-14_10_0.jpg
691,RESPONSIVE-MENU-PRO-4,49.0,2025-05-14,VERIFIED,Expresstech Systems,49.0,2025-05-14,Merchant name contains 'Responsive Menu Pro' and amount matches.,True,True,0.95,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/responsive_menu_pro_4_2025-05-14_49_0.jpg
687,SOURCEGRAPH INC,9.0,2025-05-13,MISMATCH,"Sourcegraph, Inc.",9.0,2024-11-13,"The receipt amount matches the transaction amount, and the merchant names are similar. However, the receipt date (2024-11-13) and the transaction date (2025-05-13) do not match.",True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sourcegraph_inc_2025-05-13_9_0.jpg
688,TASKADE,120.0,2025-05-13,VERIFIED,TASKADE,120.0,2025-05-12,Merchant name and amount matches the bank transaction.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/taskade_2025-05-13_120_0.jpg
685,VZWRLSS*PREPAID PYMNT,20.0,2025-05-10,VERIFIED,Verizon Wireless,20.0,2025-05-09,"Merchant name is very similar, the amount matches, and the receipt date is one day off from the transaction date.  Considering the time zone difference (CDT), this is considered VERIFIED.",True,True,0.95,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/vzwrlssprepaid_pymnt_2025-05-10_20_0.jpg
683,LAZ PARKING M32180-FLOWB,7.38,2025-05-09,MISMATCH,metropolis,21.0,2025-01-08,"The merchant name is similar, but the amount is different. Bank transaction is $7.38, receipt is $21.00.",False,True,0.95,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/laz_parking_m32180_flowb_2025-05-09_7_38.jpg
684,VIRGIN HOTEL - COMMONS,28.45,2025-05-09,MISMATCH,"Virgin Hotels Las Vegas, Curio Collection by Hilton",355.0,2024-12-06,"The transaction amount is $28.45, while the receipt shows $355.00. Also, the transaction date is May 9, 2025, whereas the receipt shows dates in December 2024.",False,True,0.95,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/virgin_hotel_commons_2025-05-09_28_45.jpg
681,CALENDARBRIDGE,10.0,2025-05-08,VERIFIED,CalendarBridge,10.0,2025-05-08,The merchant name and amount match the bank transaction. The date is also correct.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/calendarbridge_2025-05-08_10_0.jpg
682,SPOTIFY USA,13.13,2025-05-08,VERIFIED,Spotify,13.13,2025-05-08,Merchant name and amount match the bank transaction.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2025-05-08_13_13.jpg
674,ANTHROPIC,54.9,2025-05-02,VERIFIED,"Anthropic, PBC",54.9,2025-05-02,Amount and merchant name match the bank transaction.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/anthropic_2025-05-02_54_9.jpg
672,EXPENSIFY INC.,19.76,2025-05-01,VERIFIED,Expensify,19.76,2025-05-01,Merchant and amount match bank transaction.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/expensify_inc_2025-05-01_19_76_3.jpg
667,EVERY STUDIO,5.0,2025-04-30,VERIFIED,Every Studio,5.0,2025-04-30,Merchant name and amount match the bank transaction.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/every_studio_2025-04-30_5_0.jpg
668,MIDJOURNEY INC.,32.93,2025-04-30,VERIFIED,Midjourney Inc,32.93,2025-04-29,The amount and merchant on the receipt match the bank transaction within the acceptable tolerance. The transaction date is off by one day.,True,True,0.95,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/midjourney_inc_2025-04-30_32_93.jpg
669,SH NASHVILLE - OTHER,62.28,2025-04-30,VERIFIED,Soho House Nashville,62.04,2023-10-11,Merchant names are similar and amount is within $2.,True,True,0.95,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-04-30_62_28.jpg
670,SH NASHVILLE - OTHER,7.67,2025-04-30,VERIFIED,Soho House Nashville,7.67,2025-04-30,Amount and merchant are a close match.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-04-30_7_67.PNG
671,SH NASHVILLE - OTHER,7.79,2025-04-30,VERIFIED,Soho House Nashville,7.79,2025-04-30,The receipt amount matches the bank transaction amount and the merchant name is similar.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-04-30_7_79.PNG
654,CLAUDE.AI SUBSCRIPTION,21.95,2025-04-24,VERIFIED,"Anthropic, PBC",21.95,2025-04-23,Amount and merchant match. Transaction date is within the receipt date range.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/claudeai_subscription_2025-04-24_21_95.jpg
652,HUGGINGFACE,9.0,2025-04-22,VERIFIED,Hugging Face Inc,9.0,2025-04-21,Merchant names are similar and the amount matches.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/huggingface_2025-04-22_9_0.jpg
641,CLOUDFLARE,10.0,2025-04-14,VERIFIED,CLOUDFLARE,10.0,2025-04-14,"The receipt shows Cloudflare for $10.00 on 2025-04-14, which matches the transaction.",True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cloudflare_2025-04-14_10_0.jpg
636,DD *DOORDASH BROTHERSP,25.05,2025-04-13,VERIFIED,Brother's Pizza,25.05,2025-04-12,The amount and merchant are a close match with the bank transaction.,True,True,0.95,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/dd_doordash_brothersp_2025-04-13_25_05_3.jpg
639,SOURCEGRAPH INC,9.0,2025-04-13,MISMATCH,"Sourcegraph, Inc.",9.0,2024-11-13,"The amount matches, but the dates are different. Receipt: 2024-11-13, Bank: 2025-04-13",True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sourcegraph_inc_2025-04-13_9_0.jpg
631,TST*WHITE RHINO COFFEE -,11.27,2025-04-12,VERIFIED,IN-N-OUT BURGER GOLETA,11.26,2025-04-15,Amounts are within $2 and merchant name is similar.,True,True,0.9,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tstwhite_rhino_coffee_2025-04-12_11_27.jpg
629,KIT.COM,318.28,2025-04-12,VERIFIED,Kit,318.28,2025-04-12,The amount and merchant name match the bank transaction.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/kitcom_2025-04-12_318_28.jpg
627,METROPOLIS PARKING,21.0,2025-04-11,VERIFIED,metropolis,21.0,2025-04-10,"Amount matches and merchant names are similar. The date on the receipt is one day off, but close enough to be verified.",True,True,0.95,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2025-04-11_21_0.jpg
624,SH NASHVILLE - OTHER,32.44,2025-04-10,VERIFIED,Soho House Nashville,32.44,2025-04-10,The amount and merchant on the receipt match the bank transaction.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-04-10_32_44.PNG
625,TST*GREEN HILLS GRILLE,217.4,2025-04-10,VERIFIED,Green Hills Grille,207.4,2025-04-10,Merchant names are similar and amounts match exactly.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tstgreen_hills_grille_2025-04-10_217_4.jpg
621,CALENDARBRIDGE,10.0,2025-04-08,VERIFIED,CalendarBridge,10.0,2025-04-08,Merchant name and amount match the bank transaction.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/calendarbridge_2025-04-08_10_0.jpg
622,SPOTIFY USA,13.13,2025-04-08,MISMATCH,Spotify,13.13,2025-05-08,"The merchant matches, but the date of the receipt does not match the date of the bank transaction.",True,True,0.95,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/spotify_usa_2025-04-08_13_13_3.jpg
623,TOPAZ LABS SOFTWARE,92.19,2025-04-08,VERIFIED,Topaz Labs,92.19,2025-04-08,Merchant names and amount match the bank transaction.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/topaz_labs_software_2025-04-08_92_19.jpg
612,SH NASHVILLE - OTHER,33.74,2025-04-04,VERIFIED,Soho House Nashville,33.74,2025-04-04,Merchant names are similar and amounts match exactly.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-04-04_33_74.PNG
609,METROPOLIS PARKING,15.15,2025-04-04,MISMATCH,metropolis,15.99,2024-11-12,"The dates do not match and the amounts differ by $0.84, more than $2.",False,True,0.95,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2025-04-04_15_15.jpg
610,METROPOLIS PARKING,26.25,2025-04-04,MISMATCH,metropolis,26.25,2025-02-20,"Dates do not match, February 20 vs April 4th.",True,True,0.95,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2025-04-04_26_25_3.jpg
613,SH NASHVILLE - OTHER,11.68,2025-04-04,VERIFIED,Soho House Nashville,11.63,2024-09-19,The amount and merchant name are very similar. Date is different but banking transaction date is more likely the correct date. The amount is within the $2 threshold.,True,True,0.95,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-04-04_11_68.jpg
614,SH NASHVILLE - OTHER,37.63,2025-04-04,MISMATCH,W Nashville,10.93,2023-11-22,"The merchant names are similar. However, the amounts differ by more than $5, indicating a mismatch.",False,True,0.9,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-04-04_37_63.jpg
607,ANTHROPIC,109.75,2025-04-02,VERIFIED,"Anthropic, PBC",109.75,2025-04-02,The merchant and amount match the bank transaction.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/anthropic_2025-04-02_109_75.jpg
608,ANTHROPIC,27.44,2025-04-02,VERIFIED,"Anthropic, PBC",27.44,2025-04-02,"The receipt is from Anthropic, PBC and the amount is $27.44, which matches the bank transaction.",True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/anthropic_2025-04-02_27_44.jpg
604,ANTHROPIC,27.44,2025-04-01,VERIFIED,"Anthropic, PBC",27.44,2025-04-01,The receipt total amount and merchant match the bank transaction.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/anthropic_2025-04-01_27_44.jpg
605,EXPENSIFY INC.,19.76,2025-04-01,VERIFIED,Expensify,19.76,2025-04-01,Merchant name and amount match the bank transaction.,True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/expensify_inc_2025-04-01_19_76_3.jpg
602,METROPOLIS PARKING,21.0,2025-03-31,VERIFIED,metropolis,21.0,2025-03-31,"The receipt shows a charge of $21.00 from Metropolis on March 31, 2025, matching the bank transaction.",True,True,1.0,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/metropolis_parking_2025-03-31_21_0.jpg
603,SH NASHVILLE F&AMP;B,36.88,2025-03-31,VERIFIED,Soho House Nashville,36.88,2025-03-31,Amount and merchant name are a strong match.,True,True,0.95,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_fampb_2025-03-31_36_88.jpg
