Date,Description,Amount,Category,Receipt URL,Validation Status,Notes
2025-08-27,APPLE.COM/BILL,$37.95,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4343_apple_icloud____apple_one_bundle_2025-08-27_37_95.png,verified,Apple - Apple One Monthly
2025-08-27,MIDJOURNEY INC.,$32.93,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4348_midjourney_inc_2025-08-27_32_93.jpg,verified,"Midjourney - Marketing, creative, pitch decks (Monthly)"
2025-08-26,HUGGINGFACE,$9.00,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1585_huggingface_2025-08-26_9_00.jpg,verified,Hugging Face - AI/ML model hosting and development (Monthly)
2025-08-24,CLAUDE.AI SUBSCRIPTION,$21.95,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/780_anthropic_pbc_2025-08-24_21_95.jpg,verified,Claude AI - AI assistant for content creation and coding (Monthly)
2025-08-16,DAVINCI AI,$19.99,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1577_davinci_ai_2025-08-16_19_99.jpg,verified,DaVinci AI - Video editing tools (Monthly)
2025-08-14,CLOUDFLARE,$10.00,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1571_cloudflare_2025-08-14_10_00.jpg,verified_visual,Cloudflare - CDN and DNS for Down Home websites (Monthly)
2025-08-09,PMC - PAID PARKING,$40.39,DH: Travel Costs - Gas/Rental Car,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1567_pmc_paid_parking_2025-08-09_40_39.png,verified,Parking - Downtown meeting
2025-08-08,SODEXO AT BELMONT UNIVER,$49.25,Company Meetings and Meals,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/inbox/fisher_pac_belmont_d643423ea89b.png,verified,Belmont University - Film/TV meeting
2025-08-08,SPOTIFY USA,$13.13,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1565_spotify_usa_2025-08-08_13_13.jpg,verified,Spotify Premium - Music research and industry tracking (Monthly)
2025-08-02,MONGODBCLOUD BRIANS...,$30.16,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1553_mongodbcloud_brians_2025-08-02_30_16.jpg,verified,MongoDB Atlas - Database hosting for Down Home apps (Monthly)
2025-08-01,EXPENSIFY INC.,$19.76,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1551_expensify_inc_2025-08-01_19_76.jpg,verified,Expensify - Expense tracking and reporting (Monthly)
2025-07-30,EVERY STUDIO,$5.00,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1547_every_studio_2025-07-30_5_00.jpg,verified,Every Studio - Marketing graphics and social media design (Monthly)
2025-07-30,VZWRLSS*PREPAID PYMNT,$20.00,Internet Costs,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1549_vzwrlssprepaid_pymnt_2025-07-30_20_00.jpg,verified,Verizon - Prepaid mobile hotspot (Monthly)
2025-07-27,APPLE.COM/BILL,$37.95,,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4344_apple_icloud____apple_one_bundle_2025-07-27_37_95.png,verified,Apple - Apple One Monthly
2025-07-25,HUGGINGFACE,$9.00,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1541_huggingface_2025-07-25_9_00.jpg,verified,Hugging Face - AI/ML model hosting and development (Monthly)
2025-07-24,CLAUDE.AI SUBSCRIPTION,$21.95,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1537_anthropic_pbc_2025-07-23_21_94.jpg,verified,Claude AI - AI assistant for content creation and coding (Monthly)
2025-07-24,VZWRLSS*ETM SCT1456901,$23.45,Internet Costs,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1539_verizon_wireless_2025-07-24_23_44.jpg,verified,Verizon - Prepaid mobile hotspot (Monthly)
2025-07-21,TST*LEMONGRASS SUSHI AND,$75.56,Company Meetings and Meals,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1535_lemongrass_sushi_and_thai_2025-07-21_62_56.jpg,verified,Lemongrass Sushi - Lunch with Dawn Gates (UMG Nashville)
2025-07-14,CLOUDFLARE,$10.00,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1527_cloudflare_2025-04-14_10_00.jpg,verified,Cloudflare - CDN and DNS for Down Home websites (Monthly)
2025-07-11,EVERY STUDIO,$5.00,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1523_every_studio_2025-07-11_5_00.jpg,verified,Every Studio - Marketing graphics and social media design (Monthly)
2025-07-08,MONGODBCLOUD BRIANS...,$37.67,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1517_brian_s_org_mongodb_2025-03-28_37_67.jpg,verified,MongoDB Atlas - Database hosting for Down Home apps (Monthly)
2025-07-08,SPOTIFY USA,$13.13,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1519_spotify_2025-08-08_13_13.jpg,verified,Spotify Premium - Music research and industry tracking (Monthly)
2025-07-01,EXPENSIFY INC.,$19.76,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1511_expensify_2025-07-01_19_76.jpg,verified,Expensify - Expense tracking and reporting (Monthly)
2025-06-30,MIDJOURNEY INC.,$32.93,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1509_midjourney_inc_2025-06-29_32_92.jpg,verified,"Midjourney - Marketing, creative, pitch decks (Monthly)"
2025-06-27,PMC - PAID PARKING,$32.32,DH: Travel Costs - Gas/Rental Car,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/153_pmc_parking_2025-06-27_32_32.png,verified,Parking - Film TV meetings
2025-06-24,CLAUDE.AI SUBSCRIPTION,$21.95,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1497_anthropic_pbc_2025-06-23_21_94.jpg,verified,Claude AI - AI assistant for content creation and coding (Monthly)
2025-06-24,HUGGINGFACE,$9.00,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1499_hugging_face_inc_2025-06-23_9_00.jpg,verified,Hugging Face - AI/ML model hosting and development (Monthly)
2025-06-14,CLOUDFLARE,$10.00,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1483_cloudflare_2025-05-14_10_00.jpg,verified,Cloudflare - CDN and DNS for Down Home websites (Monthly)
2025-06-13,SOURCEGRAPH INC,$9.00,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1479_sourcegraph_inc_2024-10-13_9_00.jpg,verified,Sourcegraph - Code search and intelligence (Monthly)
2025-06-13,TST*THE FLOWER KITCHEN,$5.84,Company Meetings and Meals,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1481_the_flower_kitchen_2025-06-13_5_83.jpg,verified,The Flower Kitchen - Coffee with Rachel Reynolds (WXNA)
2025-06-08,VZWRLSS*PRPAY AUTOPAY,$20.00,Internet Costs,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/152_n_a_2025-06-08_20_00.png,verified,Verizon - Prepaid mobile hotspot autopay (Monthly)
2025-06-08,CALENDARBRIDGE,$10.00,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1469_calendarbridge_2025-06-08_10_00.jpg,verified,CalendarBridge - Calendar sync across accounts (Monthly)
2025-06-08,SPOTIFY USA,$13.13,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1473_spotify_2025-06-08_13_13.jpg,verified,Spotify Premium - Music research and industry tracking (Monthly)
2025-06-04,CORNER PUB,$79.25,Company Meetings and Meals,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1461_the_original_corner_pub_2025-06-04_79_25.jpg,verified,Corner Pub - Meeting with Scott Siman (Em.co)
2025-06-01,EXPENSIFY INC.,$19.76,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1457_expensify_2025-06-01_19_76.jpg,verified,Expensify - Expense tracking and reporting (Monthly)
2025-05-31,DASHLANE U* DASHLANE P,$65.84,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1451_dashlane_2025-05-31_65_84.jpg,verified,Dashlane - Password manager for security (Monthly)
2025-05-30,EVERY STUDIO,$5.00,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1445_every_studio_2025-05-30_5_00.jpg,verified,Every Studio - Marketing graphics and social media design (Monthly)
2025-05-30,MIDJOURNEY INC.,$32.93,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1447_midjourney_inc_2025-05-29_32_92.jpg,verified,"Midjourney - Marketing, creative, pitch decks (Monthly)"
2025-05-26,TRUIST PLAZA PARKING,$27.44,DH: Travel Costs - Gas/Rental Car,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4300_truist_plaza_parking_2025-05-26_27_44.png,verified,Parking - Truist Plaza venue meeting
2025-05-24,CLAUDE.AI SUBSCRIPTION,$21.95,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1438_anthropic_pbc_2025-05-23_21_94.jpg,verified,Claude AI - AI assistant for content creation and coding (Monthly)
2025-05-23,HUGGINGFACE,$9.00,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1437_hugging_face_inc_2025-05-22_9_00.jpg,verified,Hugging Face - AI/ML model hosting and development (Monthly)
2025-05-15,AI.FYXER.COM,$60.00,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1429_aifyxercom_2025-05-15_60_00.jpg,verified_visual,AI Fyxer - AI audio enhancement for music (Monthly)
2025-05-15,ELEMENTOR.COM,$54.86,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1430_elementor_ltd_2025-05-15_54_85.jpg,verified,Elementor Pro - Website builder for Down Home sites (Monthly)
2025-05-14,CLOUDFLARE,$10.00,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1425_cloudflare_2025-05-14_10_00.jpg,verified,Cloudflare - CDN and DNS for Down Home websites (Monthly)
2025-05-14,RESPONSIVE-MENU-PRO-4,$49.00,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1426_responsive_menu_pro_2025-05-14_49_00.jpg,verified,Responsive Menu Pro (Annual)
2025-05-13,SOURCEGRAPH INC,$9.00,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1422_sourcegraph_inc_2024-11-13_9_00.jpg,verified,Sourcegraph - Code search and intelligence (Monthly)
2025-05-13,TASKADE,$120.00,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1423_taskade_2025-05-12_120_00.jpg,verified,Taskade - Project management and collaboration (Monthly)
2025-05-10,VZWRLSS*PREPAID PYMNT,$20.00,Internet Costs,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1420_vzwrlss_prepaid_pymnt_2025-05-10_20_00.jpg,verified,Verizon Prepaid - Mobile hotspot for remote work
2025-05-09,LAZ PARKING M32180-FLOWB,$7.38,DH: Travel Costs - Gas/Rental Car,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1418_laz_parking_m32180_flowb_2025-05-09_7_37.png,verified,LAZ Parking - Downtown Nashville meeting
2025-05-09,VIRGIN HOTEL - COMMONS,$28.45,DH: Travel Costs - Hotel,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1419_virgin_hotel_commons_2025-05-09_28_44.png,verified,Virgin Hotel Commons Club - Drinks with Tyler Stevens (Kinwoven)
2025-05-08,CALENDARBRIDGE,$10.00,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1416_calendarbridge_2025-05-08_10_00.jpg,verified,CalendarBridge - Calendar sync across accounts (Monthly)
2025-05-08,SPOTIFY USA,$13.13,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1417_spotify_2025-05-08_13_13.jpg,verified,Spotify Premium - Music research and industry tracking (Monthly)
2025-05-08,BROADWAY BREWHOUSE,$74.31,Company Meetings and Meals,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4303_broadway_brewhouse_2025-05-08_74_31.png,verified,Broadway Brewhouse - Meeting with Tom Lord (Red Light Management)
2025-05-02,ANTHROPIC,$54.90,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1409_anthropic_pbc_2025-05-02_54_89.jpg,verified,Claude AI - AI assistant for content creation and coding (Monthly)
2025-05-01,EXPENSIFY INC.,$19.76,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1408_expensify_2025-05-01_19_76.jpg,verified,Expensify - Expense tracking and reporting (Monthly)
2025-04-30,EVERY STUDIO,$5.00,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1403_every_studio_2025-04-30_5_00.jpg,verified,Every Studio - Marketing graphics and social media design (Monthly)
2025-04-30,MIDJOURNEY INC.,$32.93,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1404_midjourney_inc_2025-04-29_32_92.jpg,verified,"Midjourney - Marketing, creative, pitch decks (Monthly)"
2025-04-30,SH NASHVILLE - OTHER,$62.28,Company Meetings and Meals,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1405_soho_house_nashville_2025-04-30_62_28.jpg,verified,Soho House Nashville - Budget review meeting
2025-04-30,SH NASHVILLE - OTHER,$7.67,Company Meetings and Meals,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1406_soho_house_nashville_2025-04-30_6_00.png,verified,Soho House Nashville - Meeting with Tim Staples (Shareability)
2025-04-30,SH NASHVILLE - OTHER,$7.79,Company Meetings and Meals,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1407_soho_house_nashville_2025-04-30_7_79.png,verified,Soho House Nashville - Budget review meeting
2025-04-24,CLAUDE.AI SUBSCRIPTION,$21.95,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1391_anthropic_pbc_2025-04-23_21_94.jpg,verified,Claude AI - AI assistant for content creation and coding (Monthly)
2025-04-22,HUGGINGFACE,$9.00,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1389_hugging_face_inc_2025-04-21_9_00.jpg,verified,Hugging Face - AI/ML model hosting and development (Monthly)
2025-04-14,CLOUDFLARE,$10.00,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1378_cloudflare_2025-04-14_10_00.jpg,verified,Cloudflare - CDN and DNS for Down Home websites (Monthly)
2025-04-13,DD *DOORDASH BROTHERSP,$25.05,Company Meetings and Meals,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1373_brother_s_pizza_2025-04-12_25_05.jpg,verified,Brothers Pizza - Lunch with Rachel
2025-04-13,SOURCEGRAPH INC,$9.00,Software subscriptions,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1376_sourcegraph_inc_2025-04-13_9_00.jpg,verified,Sourcegraph - Code search and intelligence (Monthly)
2025-04-12,TST*WHITE RHINO COFFEE -,$11.27,Company Meetings and Meals,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/150_tst_white_rhino_coffee_2025-04-12_11_26.jpg,verified,White Rhino Coffee - Coffee with Scott Siman (Em.co)
