index,date,amount,merchant,receipt_url,receipt_total,receipt_merchant,reasoning
439,2024-12-21,24.43,CURSOR AI POWERED IDE,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/cursor_ai_powered_ide_2024-12-21_24_43.jpg,109.84,Cursor,The amount and merchant name do not match the bank transaction. The date is also incorrect.
443,2024-12-25,44.25,SHOEBOXED.* TRIAL PROF,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/shoeboxed_trial_prof_2024-12-25_44_25_3.jpg,,shoeboxed,"The receipt is an email about a subscription expiring. There is no total amount or date on the receipt. The merchant name matches, but the amount and date are missing, so it's a mismatch."
453,2025-01-06,72.38,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2025-01-06_72_38.jpg,72.26,Soho House Nashville,"The amount is within the tolerance ($72.38 vs $72.26). The merchant name is a reasonable match (SH NASHVILLE - OTHER vs Soho House Nashville). However, the date is not within 7 days (2025-01-06 vs 202"
454,2025-01-06,13.5,THE DONELSON PUB,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/the_donelson_pub_2025-01-06_13_5.jpg,13.50,"NASHVILLE, TN","The receipt total is $13.50, which matches the bank transaction amount. The receipt date is 2025-01-05, which is within 7 days of the bank transaction date of 2025-01-06. However, the merchant name on"
823,2024-11-18,32.93,Midjourney,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/receipt_19a2665bba37_att1.jpg,32.93,Midjourney Inc,"The amount matches ($32.93), and the merchant name matches (Midjourney). However, the date on the receipt (2025-10-27) does not fall within 7 days of the bank transaction date (2024-11-18)."
198,2024-09-10,43.5,BINION'S BARS,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/binions_bars_2024-09-10_43_5.jpg,36.50,Binions Gambling Hall & Hotel,"The receipt total is $36.50, while the bank transaction is $43.50. The merchant name matches, and the date matches. However, the amount difference is greater than $1.00 and 20% of the receipt total."
235,2024-09-21,5.6,201 BELCOURT LOT,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/201_belcourt_lot_2024-09-21_5_6.jpg,6.73,Belcourt Lot 201,The amount ($6.73 vs $5.60) and date (2024-10-23 vs 2024-09-21) do not match. The merchant name does match.
245,2024-09-25,20.0,THE GATEWAY TO NASHVILLE,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/the_gateway_to_nashville_2024-09-25_20_0.jpg,20.00,Cursor,"The amount matches, but the merchant name 'Cursor' does not match 'THE GATEWAY TO NASHVILLE'. Also, the receipt does not have a date."
250,2024-09-30,50.0,IM-ADA.AI,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/im_adaai_2024-09-30_50_0.jpg,50.00,Ada AI,"The amount matches ($50.00), and the merchant name is a reasonable match (IM-ADA.AI vs Ada AI). However, the date on the receipt (2024-10-25) is not within 7 days of the bank transaction date (2024-09"
255,2024-10-02,10.0,IM-ADA.AI,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/im_adaai_2024-10-02_10_0.jpg,50.00,Ada Al,"The receipt total is $50.00, which does not match the bank transaction amount of $10.00. The receipt date is November 7, 2024, which is not within 7 days of the bank transaction date of October 2, 202"
278,2024-10-11,27.14,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2024-10-11_27_14.jpg,38.78,Soho House Nashville,"The receipt total is $38.78, while the bank transaction is $27.14. The merchant name 'Soho House Nashville' reasonably matches 'SH NASHVILLE - OTHER', but the dates are different (2024-11-25 vs 2024-1"
279,2024-10-11,62.04,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2024-10-11_62_04.jpg,62.93,Soho House Nashville,"The receipt total ($62.93) is within $1 of the bank transaction ($62.04). The merchant name 'Soho House Nashville' reasonably matches 'SH NASHVILLE'. However, the receipt date (2023-09-22) is not with"
299,2024-10-25,27.0,BONHOMME PLACE GARAGE,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/bonhomme_place_garage_2024-10-25_27_0.png,1.09,App Store,"The amount ($1.09 vs $27.00), date (2025-03-10 vs 2024-10-25), and merchant (App Store vs BONHOMME PLACE GARAGE) do not match the bank transaction."
305,2024-10-28,60.0,JJK FOUNDATION,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/jjk_foundation_2024-10-28_60_0.jpg,50.00,Ada Al,"The receipt total is $50.00, while the bank transaction is $60.00. The merchant name 'Ada Al' does not match 'JJK FOUNDATION'. The date is within 7 days."
803,2024-09-28,25.0,IM-ADA.AI,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/im_adaai_2024-09-28_25_0.jpg,25.00,Ada Al,"The amount matches ($25.00), and the merchant name is a reasonable match (IM-ADA.AI vs Ada Al). However, the date on the receipt (2024-11-03) is not within 7 days of the bank transaction date (2024-09"
811,2024-09-28,25.0,IM-ADA.AI,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/im_adaai_2024-09-28_25_0_2.jpg,25.00,Ada Al,"The amount matches ($25.00). The merchant name 'Ada Al' reasonably matches 'IM-ADA.AI' (email address on receipt). However, the date on the receipt (2024-11-03) is not within 7 days of the bank transa"
31,2024-07-14,168.87,TST* IL FORNO PIZZERIA,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/tst_il_forno_pizzeria_2024-07-14_168_87_3.jpg,140.87,il Forno Pizzeria,"The receipt total is $140.87, while the bank transaction is $168.87. The merchant name 'il Forno Pizzeria' reasonably matches 'TST* IL FORNO PIZZERIA' and the date matches. However, the amount differe"
76,2024-08-06,18.1,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2024-08-06_18_1.jpg,84.35,Soho House Nashville,"The amount ($84.35) and date (2024-10-16) on the receipt do not match the bank transaction amount ($18.10) and date (2024-08-06). While the merchant name is similar, the amount difference is too large"
89,2024-08-13,58.21,O-KU NASHVILLE,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/o_ku_nashville_2024-08-13_58_21.jpeg,,O-Ku Sushi,"The receipt date and merchant name match the bank transaction. However, the receipt only shows the amount before gratuity ($48.21), and the total amount is missing. The bank transaction is $58.21, whi"
93,2024-08-14,15.38,MAFIAOZAS,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/mafiaozas_2024-08-14_15_38_3.jpg,10.38,MAFIAOZA'S,"The receipt total is $10.38, the bank transaction is $15.38. The merchant name matches and the date matches. The amount is not within $1.00 or 20% of the receipt total."
97,2024-08-14,27.14,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2024-08-14_27_14.jpg,14.22,Soho House Nashville,"The receipt total ($14.22) does not match the bank transaction amount ($27.14). The merchant name 'Soho House Nashville' is similar to 'SH NASHVILLE', but the date (September 26) is not within 7 days "
129,2024-08-23,9.05,SH NASHVILLE - OTHER,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/sh_nashville_other_2024-08-23_9_05.png,9.05,Soho House Nashville,"The receipt total is $9.05, which matches the bank transaction amount. The merchant name 'Soho House Nashville' reasonably matches 'SH NASHVILLE'. However, the receipt date is 2024-08-05, which is not"
165,2024-09-04,59.16,12 SOUTH TAPROOM &AMP; GRILL,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/12_south_taproom_amp_grill_2024-09-04_59_16.jpg,,12 South Taproom,"The receipt date and merchant name match the bank transaction. However, the receipt only shows the 'AMOUNT' of $49.16 and does not show the total amount after tip. The bank transaction is $59.16, whic"
167,2024-09-04,45.15,CORNER PUB,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/receipts/corner_pub_2024-09-04_45_15.jpg,37.15,Corner Pub Green Hills,"The receipt total is $37.15, while the bank transaction is $45.15. The merchant name matches (Corner Pub vs Corner Pub Green Hills), and the date is the same. However, the amount difference is greater"
